subject_id,behavior_block,block_order,response_probability,false_alarm_probability,n_sessions_contributing,n_sessions_false_alarm_contributing,n_sessions_in_cohort,session_cohort,block_denominators_match_gating
604914,engaged_1,1,0.7659574468085106,0.5588235294117647,2,2,2,technically_valid,true
604914,no_reward_late,2,0.54,0.5,2,2,2,technically_valid,true
604914,engaged_2_early,3,0.5,0.5,2,2,2,technically_valid,true
607660,engaged_1,1,0.513260588516343,0.14734848484848484,4,4,4,technically_valid,true
607660,no_reward_late,2,0.11201446967933026,0.03571428571428571,4,4,4,technically_valid,true
607660,engaged_2_early,3,0.2614415364941204,0.11927319004524888,4,4,4,technically_valid,true
608671,engaged_1,1,0.5066953610712578,0.06919642857142858,4,4,4,technically_valid,true
608671,no_reward_late,2,0.0,0.03333333333333333,4,4,4,technically_valid,true
608671,engaged_2_early,3,0.21632077991452991,0.055330882352941174,4,4,4,technically_valid,true
608672,engaged_1,1,0.6670987778000401,0.17381229881229882,4,4,4,technically_valid,true
608672,no_reward_late,2,0.10132278872294423,0.058823529411764705,4,4,4,technically_valid,true
608672,engaged_2_early,3,0.3148759820223636,0.12996031746031747,4,4,4,technically_valid,true
611160,engaged_1,1,0.6878787878787879,0.16666666666666666,3,3,3,technically_valid,true
611160,no_reward_late,2,0.057971014492753624,0.0,3,3,3,technically_valid,true
611160,engaged_2_early,3,0.33336316982933517,0.0,3,3,3,technically_valid,true
611166,engaged_1,1,0.5303903903903904,0.12713675213675213,4,4,4,technically_valid,true
611166,no_reward_late,2,0.06286531456554253,0.03333333333333333,4,4,4,technically_valid,true
611166,engaged_2_early,3,0.31344696969696967,0.05416666666666666,4,4,4,technically_valid,true
612090,engaged_1,1,0.5922740621089874,0.09895833333333333,4,4,4,technically_valid,true
612090,no_reward_late,2,0.10276636041263701,0.03333333333333333,4,4,4,technically_valid,true
612090,engaged_2_early,3,0.5717696046509185,0.05704365079365079,4,4,4,technically_valid,true
614547,engaged_1,1,0.7966401414677277,0.19269619269619268,3,3,3,technically_valid,true
614547,no_reward_late,2,0.22802721088435374,0.18452380952380953,3,3,3,technically_valid,true
614547,engaged_2_early,3,0.7727834396169815,0.16666666666666666,3,3,3,technically_valid,true
614608,engaged_1,1,0.6888278617502648,0.13392857142857142,4,4,4,technically_valid,true
614608,no_reward_late,2,0.11192201518288475,0.015625,4,4,4,technically_valid,true
614608,engaged_2_early,3,0.45477651630734933,0.05857843137254902,4,4,4,technically_valid,true
615047,engaged_1,1,0.37599759132878363,0.071875,4,4,4,technically_valid,true
615047,no_reward_late,2,0.22799006127273605,0.16071428571428573,4,4,4,technically_valid,true
615047,engaged_2_early,3,0.33383348244611233,0.08260233918128654,4,4,4,technically_valid,true
615048,engaged_1,1,0.5657404380516509,0.07037037037037036,4,4,4,technically_valid,true
615048,no_reward_late,2,0.05811578624078624,0.011904761904761904,4,4,4,technically_valid,true
615048,engaged_2_early,3,0.41216884620952565,0.08322132616487454,4,4,4,technically_valid,true
615563,engaged_1,1,0.8234982882041706,0.06442955344311117,3,3,3,technically_valid,true
615563,no_reward_late,2,0.06798245614035088,0.030303030303030304,3,3,3,technically_valid,true
615563,engaged_2_early,3,0.8281588372480426,0.12444037444037444,3,3,3,technically_valid,true
615564,engaged_1,1,0.7394744820731662,0.18844475611656536,4,4,4,technically_valid,true
615564,no_reward_late,2,0.12558670421573648,0.10660885167464115,4,4,4,technically_valid,true
615564,engaged_2_early,3,0.6832192908511368,0.18033661740558293,4,4,4,technically_valid,true
623319,engaged_1,1,0.8638250319284801,0.2957516339869281,3,3,3,technically_valid,true
623319,no_reward_late,2,0.10179294389820705,0.0,3,3,3,technically_valid,true
623319,engaged_2_early,3,0.8373275236020334,0.25163398692810457,3,3,3,technically_valid,true
