transition,transition_order,transition_label,anchor_type,anchor_order,anchor_label,bin_center_minutes,mean_axis_score,ci_low,ci_high,n_mice,n_sessions,n_trials,aggregation,ci_method,confidence_level,bootstrap_resamples,bootstrap_seed
withdrawal,1,Reward withdrawal,real,1,Real boundary,-5.0,0.0005068258091020933,-0.07128730887557529,0.07004019167029867,12,23,70,"equal sessions within mouse, then equal mice",mouse percentile bootstrap,0.95,10000,1051
withdrawal,1,Reward withdrawal,real,1,Real boundary,-3.0,0.01262658389829311,-0.0555279606989256,0.07399539189554621,12,22,67,"equal sessions within mouse, then equal mice",mouse percentile bootstrap,0.95,10000,1052
withdrawal,1,Reward withdrawal,real,1,Real boundary,-1.0,-0.03807707168174048,-0.09586496291349805,0.01799010492351703,12,23,68,"equal sessions within mouse, then equal mice",mouse percentile bootstrap,0.95,10000,1053
withdrawal,1,Reward withdrawal,real,1,Real boundary,1.0,-0.011546554254485093,-0.059174608593287735,0.0444195457589353,12,22,72,"equal sessions within mouse, then equal mice",mouse percentile bootstrap,0.95,10000,1054
withdrawal,1,Reward withdrawal,real,1,Real boundary,3.0,-0.1008579911607143,-0.15299851991968674,-0.04939702392357087,12,23,81,"equal sessions within mouse, then equal mice",mouse percentile bootstrap,0.95,10000,1055
withdrawal,1,Reward withdrawal,real,1,Real boundary,5.0,-0.145055173971703,-0.183509447895465,-0.10168600655988204,12,23,86,"equal sessions within mouse, then equal mice",mouse percentile bootstrap,0.95,10000,1056
withdrawal,1,Reward withdrawal,pseudo,2,Within-state pseudo-boundary,-5.0,0.0926685504831316,0.049263647509246965,0.1351148958453821,12,22,56,"equal sessions within mouse, then equal mice",mouse percentile bootstrap,0.95,10000,1057
withdrawal,1,Reward withdrawal,pseudo,2,Within-state pseudo-boundary,-3.0,0.048970991421388964,0.006038434955617693,0.09265721135353053,12,22,69,"equal sessions within mouse, then equal mice",mouse percentile bootstrap,0.95,10000,1058
withdrawal,1,Reward withdrawal,pseudo,2,Within-state pseudo-boundary,-1.0,0.030974713532096396,-0.04526502305737526,0.10762924978522859,12,23,70,"equal sessions within mouse, then equal mice",mouse percentile bootstrap,0.95,10000,1059
withdrawal,1,Reward withdrawal,pseudo,2,Within-state pseudo-boundary,1.0,0.005417000008249437,-0.08026735432413848,0.08249372979894588,12,22,64,"equal sessions within mouse, then equal mice",mouse percentile bootstrap,0.95,10000,1060
withdrawal,1,Reward withdrawal,pseudo,2,Within-state pseudo-boundary,3.0,-0.009171971828043137,-0.07736169074170199,0.05520133243469681,12,22,65,"equal sessions within mouse, then equal mice",mouse percentile bootstrap,0.95,10000,1061
withdrawal,1,Reward withdrawal,pseudo,2,Within-state pseudo-boundary,5.0,0.0061997044640158495,-0.06171702038847622,0.06509662156472998,12,21,68,"equal sessions within mouse, then equal mice",mouse percentile bootstrap,0.95,10000,1062
restoration,2,Reward restoration,real,1,Real boundary,-5.0,-0.2558727849104337,-0.28388425820429714,-0.23057198968983122,12,23,85,"equal sessions within mouse, then equal mice",mouse percentile bootstrap,0.95,10000,1063
restoration,2,Reward restoration,real,1,Real boundary,-3.0,-0.3000591632977706,-0.32762563998958655,-0.2745481943791633,12,23,80,"equal sessions within mouse, then equal mice",mouse percentile bootstrap,0.95,10000,1064
restoration,2,Reward restoration,real,1,Real boundary,-1.0,-0.2692214672325717,-0.2976753160946391,-0.23866403848311057,12,23,92,"equal sessions within mouse, then equal mice",mouse percentile bootstrap,0.95,10000,1065
restoration,2,Reward restoration,real,1,Real boundary,1.0,-0.1324299697726869,-0.23908373736104616,-0.0324151377937579,10,20,52,"equal sessions within mouse, then equal mice",mouse percentile bootstrap,0.95,10000,1066
restoration,2,Reward restoration,real,1,Real boundary,3.0,-0.11808881685110198,-0.15847986342760392,-0.07999261802435689,11,22,73,"equal sessions within mouse, then equal mice",mouse percentile bootstrap,0.95,10000,1067
restoration,2,Reward restoration,real,1,Real boundary,5.0,-0.08625936902766018,-0.15575941882986463,-0.020244742493786903,12,23,68,"equal sessions within mouse, then equal mice",mouse percentile bootstrap,0.95,10000,1068
restoration,2,Reward restoration,pseudo,2,Within-state pseudo-boundary,-5.0,-0.21070654490728513,-0.2573424624699148,-0.16671013716658806,11,20,72,"equal sessions within mouse, then equal mice",mouse percentile bootstrap,0.95,10000,1069
restoration,2,Reward restoration,pseudo,2,Within-state pseudo-boundary,-3.0,-0.17086315162543272,-0.21693293048535675,-0.12654569745362237,12,22,77,"equal sessions within mouse, then equal mice",mouse percentile bootstrap,0.95,10000,1070
restoration,2,Reward restoration,pseudo,2,Within-state pseudo-boundary,-1.0,-0.22706085855829838,-0.26096315074039067,-0.19015860029757453,12,23,84,"equal sessions within mouse, then equal mice",mouse percentile bootstrap,0.95,10000,1071
restoration,2,Reward restoration,pseudo,2,Within-state pseudo-boundary,1.0,-0.22796140588454264,-0.2686139143269025,-0.18792433327768387,12,23,84,"equal sessions within mouse, then equal mice",mouse percentile bootstrap,0.95,10000,1072
restoration,2,Reward restoration,pseudo,2,Within-state pseudo-boundary,3.0,-0.2568142379538534,-0.3068113506237188,-0.21122009371395256,12,23,88,"equal sessions within mouse, then equal mice",mouse percentile bootstrap,0.95,10000,1073
restoration,2,Reward restoration,pseudo,2,Within-state pseudo-boundary,5.0,-0.2499436454029024,-0.28872498160133353,-0.20927026973112764,12,23,97,"equal sessions within mouse, then equal mice",mouse percentile bootstrap,0.95,10000,1074
