subject_id,n_sessions,n_units,n_stable_units,n_early_sensory,n_late_prelick,n_action_related,stable_assignment_fraction,mean_assignment_margin
614547,1,767,544,373,23,148,0.7092568448500652,0.4092721585008756
614608,2,2426,1767,1260,311,196,0.7283594394064303,0.37336998044842934
615048,2,2132,1406,1070,193,143,0.6594746716697936,0.35394636814894836
615564,2,2035,1469,1011,277,181,0.7218673218673218,0.4054827050261563
623319,2,1597,1156,651,32,473,0.7238572323105823,0.37857922333156374
623322,3,2399,1737,1221,298,218,0.7240516882034181,0.3704381202065142
626279,1,896,611,404,67,140,0.6819196428571429,0.32783846189634375
632295,2,1880,1326,844,114,368,0.7053191489361702,0.3683189625173687
638387,1,650,418,285,89,44,0.6430769230769231,0.3847570788006506
640887,2,1768,1382,727,350,305,0.7816742081447964,0.37194281535486234
640890,2,2082,1515,1015,99,401,0.7276657060518732,0.4032227760455388
642504,3,2035,1460,1020,125,315,0.7174447174447175,0.3458399658442142
