parent_region_order,parent_region_id,parent_region_acronym,parent_region_name,n_mice,n_sessions,n_units,median_units_per_represented_mouse,coverage_eligible,minimum_mice,minimum_sessions,minimum_median_units_per_mouse
1,1097,HY,Hypothalamus,4,4,63,14.5,false,5,8,10
2,313,MB,Midbrain,10,14,1045,97.0,true,5,8,10
3,698,OLF,Olfactory areas,1,1,2,2.0,false,5,8,10
4,803,PAL,Pallidum,3,4,43,4.0,false,5,8,10
5,315,Isocortex,Isocortex,12,23,10069,875.0,true,5,8,10
6,703,CTXsp,Cortical subplate,0,0,0,0.0,false,5,8,10
7,477,STR,Striatum,11,20,2046,112.0,true,5,8,10
8,354,MY,Medulla,0,0,0,0.0,false,5,8,10
9,549,TH,Thalamus,12,23,3714,309.5,true,5,8,10
10,512,CB,Cerebellum,0,0,0,0.0,false,5,8,10
11,1089,HPF,Hippocampal formation,12,23,2727,213.5,true,5,8,10
12,771,P,Pons,0,0,0,0.0,false,5,8,10
