subject_id,source_region,target_region,reward_block,n_sessions,n_trials,source_added_r2,shift_source_added_r2
614608,MB,Isocortex,engaged_1,2,41,-0.036533154931460865,-0.0873155548325148
614608,MB,Isocortex,engaged_2,2,41,-0.023667033940273585,-0.021264543027679883
614608,MB,Isocortex,no_reward,2,41,-0.019708778031286456,-0.012761661094263022
615048,MB,Isocortex,engaged_1,2,35,-0.007388570404293915,-0.003101390473717991
615048,MB,Isocortex,engaged_2,2,35,-0.0020485468127729445,-0.009242134312543338
615048,MB,Isocortex,no_reward,2,35,0.0034395013561232535,0.0005854971122288832
615564,MB,Isocortex,engaged_1,1,17,-0.01644700778666297,-0.01329497370977073
615564,MB,Isocortex,engaged_2,1,17,-0.009287428929526609,-0.022938244480960157
615564,MB,Isocortex,no_reward,1,17,-0.06141861510511726,0.0069459464610741595
623319,MB,Isocortex,engaged_1,1,12,-0.012786948556431477,0.0001309905350002083
623319,MB,Isocortex,engaged_2,1,12,-0.0045451249172344665,0.0015042435737230297
623319,MB,Isocortex,no_reward,1,12,-0.008925403527375142,0.020625623047549335
623322,MB,Isocortex,engaged_1,1,22,0.0015654779686000708,-0.0037975641707415075
623322,MB,Isocortex,engaged_2,1,22,-0.03117181560029736,-0.0008673484169787748
623322,MB,Isocortex,no_reward,1,22,-0.008986319640806761,0.006499700431391364
626279,MB,Isocortex,engaged_1,1,21,-0.011796424677721018,-0.00958445477872305
626279,MB,Isocortex,engaged_2,1,21,-0.03447599757957642,0.01116771180829601
626279,MB,Isocortex,no_reward,1,21,-0.011903787595515913,0.005708802951300385
632295,MB,Isocortex,engaged_1,1,14,-0.013938287659444493,0.004383521801344381
632295,MB,Isocortex,engaged_2,1,14,-0.00048452050676262015,-0.007918587018818868
632295,MB,Isocortex,no_reward,1,14,-0.0069137181061458275,-0.010516407817192652
640887,MB,Isocortex,engaged_1,1,23,-0.0010259975154203183,-0.010911441722439852
640887,MB,Isocortex,engaged_2,1,23,-0.005327139011158666,-0.00977063500867592
640887,MB,Isocortex,no_reward,1,23,-0.000051786674269194144,-0.0063058643640490075
640890,MB,Isocortex,engaged_1,1,27,-0.0033160101332410097,-0.005736159807628205
640890,MB,Isocortex,engaged_2,1,27,0.0014859130376279062,0.0035473150207659954
640890,MB,Isocortex,no_reward,1,27,-0.003503914057717661,-0.008596781828332345
642504,MB,Isocortex,engaged_1,2,34,-0.01794968918895229,-0.04193136908861822
642504,MB,Isocortex,engaged_2,2,34,0.0327133440453416,-0.014439010314875766
642504,MB,Isocortex,no_reward,2,34,0.006224238506717106,-0.034274140189700986
