subject_id,source_region,target_region,n_sessions,n_trials,real_reversible_contrast,shift_reversible_contrast,controlled_reversible_contrast
614608,MB,Isocortex,2,123,-0.01039131640458077,-0.04152838783583432,0.03113707143125355
615048,MB,Isocortex,2,105,-0.008158059964656683,-0.0067572595053595474,-0.0014008004592971357
615564,MB,Isocortex,1,51,0.04855139674702247,-0.025062555556439603,0.07361395230346207
623319,MB,Isocortex,1,36,0.0002593667905421704,-0.019808005993187716,0.020067372783729887
623322,MB,Isocortex,1,66,-0.005816849175041883,-0.008832156725251505,0.0030153075502096227
626279,MB,Isocortex,1,63,-0.011232423533132807,-0.004917174436513905,-0.006315249096618902
632295,MB,Isocortex,1,42,-0.0002976859769577289,0.008748875208455409,-0.009046561185413138
640887,MB,Isocortex,1,69,-0.003124781589020298,-0.004035174001508879,0.0009103924124885809
640890,MB,Isocortex,1,81,0.002588865509911109,0.00750235943490124,-0.004913493924990131
642504,MB,Isocortex,2,102,0.001157588921477548,0.006088950487953992,-0.004931361566476444
