subject_id,perturbation_family,condition,reward_block,metric,n_sessions,n_trials,value,condition_order,condition_label,block_order,block_label
614547,contrast,full,engaged_1,behavior_response,1,11,0.9090909090909091,1,Contrast: full,1,E1
614547,contrast,full,no_reward,behavior_response,1,28,0.21428571428571427,1,Contrast: full,2,NR
614547,contrast,full,engaged_2,behavior_response,1,15,0.8666666666666667,1,Contrast: full,3,E2
614608,contrast,full,engaged_1,behavior_response,2,23,0.7007575757575758,1,Contrast: full,1,E1
614608,contrast,full,no_reward,behavior_response,2,57,0.22598522167487686,1,Contrast: full,2,NR
614608,contrast,full,engaged_2,behavior_response,2,40,0.7305764411027569,1,Contrast: full,3,E2
615048,contrast,full,engaged_1,behavior_response,2,14,0.6428571428571428,1,Contrast: full,1,E1
615048,contrast,full,no_reward,behavior_response,2,36,0.13777089783281732,1,Contrast: full,2,NR
615048,contrast,full,engaged_2,behavior_response,2,29,0.6190476190476191,1,Contrast: full,3,E2
615564,contrast,full,engaged_1,behavior_response,2,15,0.7232142857142857,1,Contrast: full,1,E1
615564,contrast,full,no_reward,behavior_response,2,26,0.27976190476190477,1,Contrast: full,2,NR
615564,contrast,full,engaged_2,behavior_response,2,24,0.7333333333333334,1,Contrast: full,3,E2
623319,contrast,full,engaged_1,behavior_response,2,11,0.8166666666666667,1,Contrast: full,1,E1
623319,contrast,full,no_reward,behavior_response,2,38,0.08333333333333333,1,Contrast: full,2,NR
623319,contrast,full,engaged_2,behavior_response,2,21,0.9545454545454546,1,Contrast: full,3,E2
623322,contrast,full,engaged_1,behavior_response,3,27,0.8518518518518517,1,Contrast: full,1,E1
623322,contrast,full,no_reward,behavior_response,3,48,0.1400201106083459,1,Contrast: full,2,NR
623322,contrast,full,engaged_2,behavior_response,3,48,0.5395580296896086,1,Contrast: full,3,E2
626279,contrast,full,engaged_1,behavior_response,1,8,1.0,1,Contrast: full,1,E1
626279,contrast,full,no_reward,behavior_response,1,18,0.2777777777777778,1,Contrast: full,2,NR
626279,contrast,full,engaged_2,behavior_response,1,13,0.6153846153846154,1,Contrast: full,3,E2
632295,contrast,full,engaged_1,behavior_response,2,12,0.9285714285714286,1,Contrast: full,1,E1
632295,contrast,full,no_reward,behavior_response,2,33,0.17777777777777776,1,Contrast: full,2,NR
632295,contrast,full,engaged_2,behavior_response,2,27,0.7774725274725275,1,Contrast: full,3,E2
638387,contrast,full,engaged_1,behavior_response,1,8,1.0,1,Contrast: full,1,E1
638387,contrast,full,no_reward,behavior_response,1,12,0.3333333333333333,1,Contrast: full,2,NR
638387,contrast,full,engaged_2,behavior_response,1,9,0.4444444444444444,1,Contrast: full,3,E2
640887,contrast,full,engaged_1,behavior_response,2,18,1.0,1,Contrast: full,1,E1
640887,contrast,full,no_reward,behavior_response,2,39,0.10263157894736842,1,Contrast: full,2,NR
640887,contrast,full,engaged_2,behavior_response,2,35,0.9117647058823529,1,Contrast: full,3,E2
640890,contrast,full,engaged_1,behavior_response,2,20,1.0,1,Contrast: full,1,E1
640890,contrast,full,no_reward,behavior_response,2,38,0.125,1,Contrast: full,2,NR
640890,contrast,full,engaged_2,behavior_response,2,34,0.8529411764705883,1,Contrast: full,3,E2
642504,contrast,full,engaged_1,behavior_response,3,27,1.0,1,Contrast: full,1,E1
642504,contrast,full,no_reward,behavior_response,3,55,0.2975877192982456,1,Contrast: full,2,NR
642504,contrast,full,engaged_2,behavior_response,3,52,1.0,1,Contrast: full,3,E2
614547,contrast,reduced,engaged_1,behavior_response,1,9,0.4444444444444444,2,Contrast: 70%,1,E1
614547,contrast,reduced,no_reward,behavior_response,1,29,0.13793103448275862,2,Contrast: 70%,2,NR
614547,contrast,reduced,engaged_2,behavior_response,1,13,0.5384615384615384,2,Contrast: 70%,3,E2
614608,contrast,reduced,engaged_1,behavior_response,2,21,0.125,2,Contrast: 70%,1,E1
614608,contrast,reduced,no_reward,behavior_response,2,58,0.034482758620689655,2,Contrast: 70%,2,NR
614608,contrast,reduced,engaged_2,behavior_response,2,40,0.17669172932330826,2,Contrast: 70%,3,E2
615048,contrast,reduced,engaged_1,behavior_response,2,15,0.2767857142857143,2,Contrast: 70%,1,E1
615048,contrast,reduced,no_reward,behavior_response,2,36,0.05555555555555555,2,Contrast: 70%,2,NR
615048,contrast,reduced,engaged_2,behavior_response,2,32,0.40625,2,Contrast: 70%,3,E2
615564,contrast,reduced,engaged_1,behavior_response,2,15,0.4642857142857143,2,Contrast: 70%,1,E1
615564,contrast,reduced,no_reward,behavior_response,2,26,0.041666666666666664,2,Contrast: 70%,2,NR
615564,contrast,reduced,engaged_2,behavior_response,2,23,0.44696969696969696,2,Contrast: 70%,3,E2
623319,contrast,reduced,engaged_1,behavior_response,2,12,0.8333333333333333,2,Contrast: 70%,1,E1
623319,contrast,reduced,no_reward,behavior_response,2,38,0.02631578947368421,2,Contrast: 70%,2,NR
623319,contrast,reduced,engaged_2,behavior_response,2,23,0.5189393939393939,2,Contrast: 70%,3,E2
623322,contrast,reduced,engaged_1,behavior_response,3,25,0.48677248677248675,2,Contrast: 70%,1,E1
623322,contrast,reduced,no_reward,behavior_response,3,48,0.08888888888888889,2,Contrast: 70%,2,NR
623322,contrast,reduced,engaged_2,behavior_response,3,45,0.2689075630252101,2,Contrast: 70%,3,E2
626279,contrast,reduced,engaged_1,behavior_response,1,8,0.75,2,Contrast: 70%,1,E1
626279,contrast,reduced,no_reward,behavior_response,1,17,0.0,2,Contrast: 70%,2,NR
626279,contrast,reduced,engaged_2,behavior_response,1,13,0.6923076923076923,2,Contrast: 70%,3,E2
632295,contrast,reduced,engaged_1,behavior_response,2,11,0.45,2,Contrast: 70%,1,E1
632295,contrast,reduced,no_reward,behavior_response,2,36,0.08204334365325078,2,Contrast: 70%,2,NR
632295,contrast,reduced,engaged_2,behavior_response,2,25,0.3344155844155844,2,Contrast: 70%,3,E2
638387,contrast,reduced,engaged_1,behavior_response,1,10,0.4,2,Contrast: 70%,1,E1
638387,contrast,reduced,no_reward,behavior_response,1,12,0.08333333333333333,2,Contrast: 70%,2,NR
638387,contrast,reduced,engaged_2,behavior_response,1,10,0.4,2,Contrast: 70%,3,E2
640887,contrast,reduced,engaged_1,behavior_response,2,19,0.16666666666666666,2,Contrast: 70%,1,E1
640887,contrast,reduced,no_reward,behavior_response,2,40,0.07500000000000001,2,Contrast: 70%,2,NR
