subject_id,perturbation_family,metric,interaction,n_sessions,n_trials
614547,contrast,behavior_response,-0.3200711166228408,1,105
614608,contrast,behavior_response,-0.37331868071432506,2,239
615048,contrast,behavior_response,-0.207219181532262,2,162
615564,contrast,behavior_response,-0.03455086580086575,2,129
623319,contrast,behavior_response,-0.15245215311004778,2,143
623322,contrast,behavior_response,-0.2667336941524248,3,241
626279,contrast,behavior_response,0.19123931623931623,1,77
632295,contrast,behavior_response,-0.36507975168965884,2,144
638387,contrast,behavior_response,-0.07222222222222219,1,61
640887,contrast,behavior_response,-0.6445497936016511,2,184
640890,contrast,behavior_response,-0.24834558823529418,2,183
642504,contrast,behavior_response,-0.03050897259488594,3,270
614547,novelty,behavior_response,-0.05611658456486046,1,162
614608,novelty,behavior_response,-0.043738341984131957,2,365
615048,novelty,behavior_response,-0.012658779663072273,2,322
615564,novelty,behavior_response,-0.025389966769277073,2,259
623319,novelty,behavior_response,-0.1264823436005702,2,277
623322,novelty,behavior_response,0.005497771259279471,3,492
626279,novelty,behavior_response,0.03591332039607903,1,157
632295,novelty,behavior_response,-0.014704769397924422,2,288
638387,novelty,behavior_response,0.23176381427902726,1,120
640887,novelty,behavior_response,0.041120794913898306,2,376
640890,novelty,behavior_response,-0.09208516767063968,2,369
642504,novelty,behavior_response,0.012635972778401672,3,536
614547,contrast,early_reward_axis,-0.714349552436716,1,105
614608,contrast,early_reward_axis,-0.5706725634091838,2,239
615048,contrast,early_reward_axis,-0.5645687888899751,2,162
615564,contrast,early_reward_axis,-0.45130361037519257,2,129
623319,contrast,early_reward_axis,-0.59296734453119,2,143
623322,contrast,early_reward_axis,-0.48908126450786804,3,241
626279,contrast,early_reward_axis,-0.45747146886427,1,77
632295,contrast,early_reward_axis,-0.5601530731990172,2,144
638387,contrast,early_reward_axis,-0.5338440181961531,1,61
640887,contrast,early_reward_axis,-0.6122027178927031,2,184
640890,contrast,early_reward_axis,-0.5416638576075578,2,183
642504,contrast,early_reward_axis,-0.4970252249068823,3,270
614547,novelty,early_reward_axis,-0.5982474411875782,1,162
614608,novelty,early_reward_axis,-0.3560274632668267,2,365
615048,novelty,early_reward_axis,-0.5641558360230294,2,322
615564,novelty,early_reward_axis,-0.4686414246922175,2,259
623319,novelty,early_reward_axis,-0.5877682347376898,2,277
623322,novelty,early_reward_axis,-0.44095617731188586,3,492
626279,novelty,early_reward_axis,-0.5307160915952047,1,157
632295,novelty,early_reward_axis,-0.5507004029620491,2,288
638387,novelty,early_reward_axis,-0.5342234737961638,1,120
640887,novelty,early_reward_axis,-0.46681436997087816,2,376
640890,novelty,early_reward_axis,-0.45700758993970747,2,369
642504,novelty,early_reward_axis,-0.5444235414646115,3,536
