table_id,table_path,column_name,column_requirement,expected_logical_dtype,n_sources_audited,n_sources_present,n_sources_missing_or_unread,n_sources_compatible,n_sources_incompatible,n_sources_read_error,n_schema_variants,schema_variant_sha256s,observed_physical_dtypes,field_audit_status
electrodes,/general/extracellular_ephys/electrodes,filtering,unexpected,,99,99,0,0,99,0,1,6bd7bf8562e3bd984ccb2aec289d878f5162209f1fdf57f6cc0affdb581432c7,String,dtype_incompatible
electrodes,/general/extracellular_ephys/electrodes,group,unexpected,,99,99,0,0,99,0,1,6bd7bf8562e3bd984ccb2aec289d878f5162209f1fdf57f6cc0affdb581432c7,String,dtype_incompatible
electrodes,/general/extracellular_ephys/electrodes,group_name,unexpected,,99,99,0,0,99,0,1,6bd7bf8562e3bd984ccb2aec289d878f5162209f1fdf57f6cc0affdb581432c7,String,dtype_incompatible
electrodes,/general/extracellular_ephys/electrodes,id,required,integer,99,99,0,99,0,0,1,6bd7bf8562e3bd984ccb2aec289d878f5162209f1fdf57f6cc0affdb581432c7,Int32,pass
electrodes,/general/extracellular_ephys/electrodes,imp,unexpected,,99,99,0,0,99,0,1,6bd7bf8562e3bd984ccb2aec289d878f5162209f1fdf57f6cc0affdb581432c7,Float64,dtype_incompatible
electrodes,/general/extracellular_ephys/electrodes,location,required,string,99,99,0,99,0,0,1,6bd7bf8562e3bd984ccb2aec289d878f5162209f1fdf57f6cc0affdb581432c7,String,pass
electrodes,/general/extracellular_ephys/electrodes,probe_channel_number,optional,integer,99,99,0,99,0,0,1,6bd7bf8562e3bd984ccb2aec289d878f5162209f1fdf57f6cc0affdb581432c7,Int32,pass
electrodes,/general/extracellular_ephys/electrodes,probe_horizontal_position,optional,numeric,99,99,0,99,0,0,1,6bd7bf8562e3bd984ccb2aec289d878f5162209f1fdf57f6cc0affdb581432c7,Int32,pass
electrodes,/general/extracellular_ephys/electrodes,probe_id,required,integer,99,99,0,99,0,0,1,6bd7bf8562e3bd984ccb2aec289d878f5162209f1fdf57f6cc0affdb581432c7,Int32,pass
electrodes,/general/extracellular_ephys/electrodes,probe_vertical_position,optional,numeric,99,99,0,99,0,0,1,6bd7bf8562e3bd984ccb2aec289d878f5162209f1fdf57f6cc0affdb581432c7,Int32,pass
electrodes,/general/extracellular_ephys/electrodes,valid_data,optional,boolean,99,99,0,99,0,0,1,6bd7bf8562e3bd984ccb2aec289d878f5162209f1fdf57f6cc0affdb581432c7,Boolean,pass
electrodes,/general/extracellular_ephys/electrodes,x,required,numeric,99,99,0,99,0,0,1,6bd7bf8562e3bd984ccb2aec289d878f5162209f1fdf57f6cc0affdb581432c7,Float64,pass
electrodes,/general/extracellular_ephys/electrodes,y,required,numeric,99,99,0,99,0,0,1,6bd7bf8562e3bd984ccb2aec289d878f5162209f1fdf57f6cc0affdb581432c7,Float64,pass
electrodes,/general/extracellular_ephys/electrodes,z,required,numeric,99,99,0,99,0,0,1,6bd7bf8562e3bd984ccb2aec289d878f5162209f1fdf57f6cc0affdb581432c7,Float64,pass
task_image_presentations,/intervals/dynamic_routing_image_set_presentations,active,required,boolean,36,36,0,36,0,0,1,f8290be9ab6cae08352c11cc19069c675ae452808d0c7467f6b00add1e4d22b6,Boolean,pass
task_image_presentations,/intervals/dynamic_routing_image_set_presentations,duration,unexpected,,36,36,0,0,36,0,1,f8290be9ab6cae08352c11cc19069c675ae452808d0c7467f6b00add1e4d22b6,Float64,dtype_incompatible
task_image_presentations,/intervals/dynamic_routing_image_set_presentations,end_frame,unexpected,,36,36,0,0,36,0,1,f8290be9ab6cae08352c11cc19069c675ae452808d0c7467f6b00add1e4d22b6,Int32,dtype_incompatible
task_image_presentations,/intervals/dynamic_routing_image_set_presentations,flashes_since_change,required,numeric,36,36,0,36,0,0,1,f8290be9ab6cae08352c11cc19069c675ae452808d0c7467f6b00add1e4d22b6,Float64,pass
task_image_presentations,/intervals/dynamic_routing_image_set_presentations,id,required,integer,36,36,0,36,0,0,1,f8290be9ab6cae08352c11cc19069c675ae452808d0c7467f6b00add1e4d22b6,Int32,pass
task_image_presentations,/intervals/dynamic_routing_image_set_presentations,image_name,required,string,36,36,0,36,0,0,1,f8290be9ab6cae08352c11cc19069c675ae452808d0c7467f6b00add1e4d22b6,String,pass
