_nwb_path,subject_id,ecephys_session_id,recording_day,session_number,is_technically_valid,is_good_session,engaged_1_start_time,engaged_1_stop_time,no_reward_start_time,no_reward_stop_time,engaged_2_start_time,engaged_2_stop_time,transition_id,transition_order,pre_block,post_block,pseudo_block,effect_direction_multiplier,real_boundary_time,pseudo_boundary_time,real_pre_coverage_start,real_pre_coverage_stop,real_post_coverage_start,real_post_coverage_stop,pseudo_coverage_start,pseudo_coverage_stop,boundary_values_valid,latency_direction_multiplier,real_time_window_complete,pseudo_time_window_complete,time_window_seconds,time_bin_width_seconds,trial_window_count,trial_bin_width,effect_window_seconds,pseudo_boundary_definition,included_in_transition_analysis,boundary_status
https://dandiarchive.s3.amazonaws.com/blobs/585/411/5854110b-2b31-4bbf-881e-3280f7b87b95,604914,1173189336,EPHYS_2,2,true,false,37.61179,924.93612,924.96933,2426.52535,2427.27526,3946.02867,reward_withdrawal,1,engaged_1,no_reward,engaged_1,-1.0,924.96933,481.273955,37.61179,924.96933,924.96933,2426.52535,37.61179,924.93612,true,1.0,true,true,360.0,120.0,24,8,180.0,temporal_midpoint_of_source_reward_state,true,included
https://dandiarchive.s3.amazonaws.com/blobs/585/411/5854110b-2b31-4bbf-881e-3280f7b87b95,604914,1173189336,EPHYS_2,2,true,false,37.61179,924.93612,924.96933,2426.52535,2427.27526,3946.02867,reward_restoration,2,no_reward,engaged_2,no_reward,1.0,2426.52535,1675.74734,924.96933,2426.52535,2426.52535,3946.02867,924.96933,2426.52535,true,-1.0,true,true,360.0,120.0,24,8,180.0,temporal_midpoint_of_source_reward_state,true,included
https://dandiarchive.s3.amazonaws.com/blobs/e5f/59c/e5f59ceb-77c6-417f-a55e-4574c0d390ba,604914,1173741216,EPHYS_4,4,true,false,37.79173,915.39062,924.39839,2420.66475,2420.68095,3941.67053,reward_withdrawal,1,engaged_1,no_reward,engaged_1,-1.0,924.39839,476.591175,37.79173,924.39839,924.39839,2420.66475,37.79173,915.39062,true,1.0,true,true,360.0,120.0,24,8,180.0,temporal_midpoint_of_source_reward_state,true,included
https://dandiarchive.s3.amazonaws.com/blobs/e5f/59c/e5f59ceb-77c6-417f-a55e-4574c0d390ba,604914,1173741216,EPHYS_4,4,true,false,37.79173,915.39062,924.39839,2420.66475,2420.68095,3941.67053,reward_restoration,2,no_reward,engaged_2,no_reward,1.0,2420.66475,1672.5315699999999,924.39839,2420.66475,2420.66475,3941.67053,924.39839,2420.66475,true,-1.0,true,true,360.0,120.0,24,8,180.0,temporal_midpoint_of_source_reward_state,true,included
https://dandiarchive.s3.amazonaws.com/blobs/324/6c5/3246c508-0142-4e96-b1f4-13ab63ee636e,607660,1182628226,EPHYS_2,2,true,false,37.72625,927.68664,928.10345,2424.37201,2425.10517,3939.70566,reward_withdrawal,1,engaged_1,no_reward,engaged_1,-1.0,928.10345,482.70644500000003,37.72625,928.10345,928.10345,2424.37201,37.72625,927.68664,true,1.0,true,true,360.0,120.0,24,8,180.0,temporal_midpoint_of_source_reward_state,true,included
https://dandiarchive.s3.amazonaws.com/blobs/324/6c5/3246c508-0142-4e96-b1f4-13ab63ee636e,607660,1182628226,EPHYS_2,2,true,false,37.72625,927.68664,928.10345,2424.37201,2425.10517,3939.70566,reward_restoration,2,no_reward,engaged_2,no_reward,1.0,2424.37201,1676.23773,928.10345,2424.37201,2424.37201,3939.70566,928.10345,2424.37201,true,-1.0,true,true,360.0,120.0,24,8,180.0,temporal_midpoint_of_source_reward_state,true,included
https://dandiarchive.s3.amazonaws.com/blobs/c1b/70d/c1b70d41-1214-4afd-9fcc-b1a3b128c5d6,607660,1182427414,EPHYS_1,1,true,false,37.67276,927.41606,928.04967,2425.73673,2425.73673,3941.50397,reward_withdrawal,1,engaged_1,no_reward,engaged_1,-1.0,928.04967,482.54441,37.67276,928.04967,928.04967,2425.73673,37.67276,927.41606,true,1.0,true,true,360.0,120.0,24,8,180.0,temporal_midpoint_of_source_reward_state,true,included
https://dandiarchive.s3.amazonaws.com/blobs/c1b/70d/c1b70d41-1214-4afd-9fcc-b1a3b128c5d6,607660,1182427414,EPHYS_1,1,true,false,37.67276,927.41606,928.04967,2425.73673,2425.73673,3941.50397,reward_restoration,2,no_reward,engaged_2,no_reward,1.0,2425.73673,1676.8932,928.04967,2425.73673,2425.73673,3941.50397,928.04967,2425.73673,true,-1.0,true,true,360.0,120.0,24,8,180.0,temporal_midpoint_of_source_reward_state,true,included
https://dandiarchive.s3.amazonaws.com/blobs/d01/275/d012752e-19c8-4ea9-bba6-59bf0983cff5,607660,1183071525,EPHYS_4,4,true,false,38.44605,924.15283,924.36983,2420.57098,2421.30451,3938.4915,reward_withdrawal,1,engaged_1,no_reward,engaged_1,-1.0,924.36983,481.29944,38.44605,924.36983,924.36983,2420.57098,38.44605,924.15283,true,1.0,true,true,360.0,120.0,24,8,180.0,temporal_midpoint_of_source_reward_state,true,included
https://dandiarchive.s3.amazonaws.com/blobs/d01/275/d012752e-19c8-4ea9-bba6-59bf0983cff5,607660,1183071525,EPHYS_4,4,true,false,38.44605,924.15283,924.36983,2420.57098,2421.30451,3938.4915,reward_restoration,2,no_reward,engaged_2,no_reward,1.0,2420.57098,1672.470405,924.36983,2420.57098,2420.57098,3938.4915,924.36983,2420.57098,true,-1.0,true,true,360.0,120.0,24,8,180.0,temporal_midpoint_of_source_reward_state,true,included
