analysis_id,result_id,contrast_id,hypothesis,dandiset_version,code_version,seed,analysis_tier,inclusion_definition,missingness_stratum,estimate,scale,ci_low,ci_high,confidence_level,ci_method,test_statistic,test_method,p_value,adjusted_p_value,adjustment_method,multiplicity_family,sidedness,n_mice,n_sessions,n_probes,n_units,n_trials,aggregation,bootstrap_id,model_formula,cv_grouping,status,reason
behavior_transition_qc,reward_withdrawal_go_real_step_mouse_mean,reward_withdrawal_go_real_step,E1-to-no-reward withdrawal real transition step for go responses.,0.260825.2232,24ba096deb2d8931af3423b9b5682cdbeec7884c+dirty,21051,exploratory,technically valid sessions with at least one go trial in every required 3-minute effect window,complete_required_effect_windows,0.17663646367350072,probability difference,0.1330942704843168,0.22190862849427662,0.95,mouse percentile bootstrap (10000 resamples),,,,,,,not_applicable,27,99,,,1977,equal-session mean within mouse; equal-mouse inference,seed=21051;n_resamples=10000,transition-specific signed(post - pre) at real boundary,,pass,
behavior_transition_qc,reward_withdrawal_go_pseudo_step_mouse_mean,reward_withdrawal_go_pseudo_step,E1-to-no-reward withdrawal within-source-state pseudo step for go responses.,0.260825.2232,24ba096deb2d8931af3423b9b5682cdbeec7884c+dirty,21052,exploratory,technically valid sessions with at least one go trial in every required 3-minute effect window,complete_required_effect_windows,0.03295384313902832,probability difference,-0.0048501318640207375,0.07364648126222201,0.95,mouse percentile bootstrap (10000 resamples),,,,,,,not_applicable,27,99,,,1719,equal-session mean within mouse; equal-mouse inference,seed=21052;n_resamples=10000,transition-specific signed(post - pre) at source-state temporal midpoint,,pass,
behavior_transition_qc,reward_withdrawal_go_pseudo_controlled_step_mouse_mean,reward_withdrawal_go_pseudo_controlled_step,E1-to-no-reward withdrawal pseudo-controlled go response gating differs from zero.,0.260825.2232,24ba096deb2d8931af3423b9b5682cdbeec7884c+dirty,21053,exploratory,technically valid sessions with at least one go trial in every required 3-minute effect window,complete_required_effect_windows,0.1436826205344724,difference in probability differences,0.07716913573395054,0.20977405717567751,0.95,mouse percentile bootstrap (10000 resamples),0.1436826205344724,monte_carlo_two_sided_sign_flip,0.00034999650003499967,0.00034999650003499967,holm,behavior_transition_primary_go,two-sided,27,99,,,3696,equal-session mean within mouse; equal-mouse inference,seed=21053;n_resamples=10000,real signed(post - pre) - matched source-state pseudo signed(post - pre),,pass,
behavior_transition_qc,reward_withdrawal_go_real_latency_step_seconds_mouse_mean,reward_withdrawal_go_real_latency_step_seconds,Describe E1-to-no-reward withdrawal go responder-only latency; positive means slowing after withdrawal or speeding after restoration for real transition response-latency step; no unconditional or inferential latency claim.,0.260825.2232,24ba096deb2d8931af3423b9b5682cdbeec7884c+dirty,21054,exploratory,technically valid sessions with at least one canonical response in every required 3-minute window; responder-only conditional latency summary,responders_in_all_required_effect_windows,0.006137422839505591,seconds,-0.011857318287028953,0.022705401234558952,0.95,mouse percentile bootstrap (10000 resamples),,,,,,,not_applicable,27,92,,,1042,equal-session mean within mouse; equal-mouse inference,seed=21054;n_resamples=10000,latency-specific signed(post - pre) at real boundary; conditional on canonical response in each window,,pass,
behavior_transition_qc,reward_withdrawal_go_pseudo_latency_step_seconds_mouse_mean,reward_withdrawal_go_pseudo_latency_step_seconds,Describe E1-to-no-reward withdrawal go responder-only latency; positive means slowing after withdrawal or speeding after restoration for within-source-state pseudo response-latency step; no unconditional or inferential latency claim.,0.260825.2232,24ba096deb2d8931af3423b9b5682cdbeec7884c+dirty,21055,exploratory,technically valid sessions with at least one canonical response in every required 3-minute window; responder-only conditional latency summary,responders_in_all_required_effect_windows,0.004504336419717219,seconds,-0.014056980709909909,0.020911905864180135,0.95,mouse percentile bootstrap (10000 resamples),,,,,,,not_applicable,27,91,,,1052,equal-session mean within mouse; equal-mouse inference,seed=21055;n_resamples=10000,latency-specific signed(post - pre) at source-state temporal midpoint; conditional on canonical response in each window,,pass,
behavior_transition_qc,reward_withdrawal_go_pseudo_controlled_latency_step_seconds_mouse_mean,reward_withdrawal_go_pseudo_controlled_latency_step_seconds,Describe E1-to-no-reward withdrawal go responder-only latency; positive means slowing after withdrawal or speeding after restoration for real minus pseudo response-latency step; no unconditional or inferential latency claim.,0.260825.2232,24ba096deb2d8931af3423b9b5682cdbeec7884c+dirty,21056,exploratory,technically valid sessions with at least one canonical response in every required 3-minute window; responder-only conditional latency summary,responders_in_all_required_effect_windows,0.0014362808642409191,seconds,-0.025913069058597044,0.025883598379666816,0.95,mouse percentile bootstrap (10000 resamples),,,,,,,not_applicable,27,89,,,2052,equal-session mean within mouse; equal-mouse inference,seed=21056;n_resamples=10000,real latency signed(post - pre) - matched source-state pseudo signed(post - pre); conditional on canonical response in each window,,pass,
behavior_transition_qc,reward_withdrawal_catch_real_step_mouse_mean,reward_withdrawal_catch_real_step,E1-to-no-reward withdrawal real transition step for catch responses.,0.260825.2232,24ba096deb2d8931af3423b9b5682cdbeec7884c+dirty,21057,exploratory,technically valid sessions with at least one catch trial in every required 3-minute effect window,complete_required_effect_windows,0.021454291593180484,probability difference,-0.028392305996472654,0.076581698265726,0.95,mouse percentile bootstrap (10000 resamples),,,,,,,not_applicable,27,99,,,988,equal-session mean within mouse; equal-mouse inference,seed=21057;n_resamples=10000,transition-specific signed(post - pre) at real boundary,,pass,
behavior_transition_qc,reward_withdrawal_catch_pseudo_step_mouse_mean,reward_withdrawal_catch_pseudo_step,E1-to-no-reward withdrawal within-source-state pseudo step for catch responses.,0.260825.2232,24ba096deb2d8931af3423b9b5682cdbeec7884c+dirty,21058,exploratory,technically valid sessions with at least one catch trial in every required 3-minute effect window,complete_required_effect_windows,-0.023118753674309225,probability difference,-0.0830704365079365,0.0386247060552616,0.95,mouse percentile bootstrap (10000 resamples),,,,,,,not_applicable,27,97,,,880,equal-session mean within mouse; equal-mouse inference,seed=21058;n_resamples=10000,transition-specific signed(post - pre) at source-state temporal midpoint,,pass,
behavior_transition_qc,reward_withdrawal_catch_pseudo_controlled_step_mouse_mean,reward_withdrawal_catch_pseudo_controlled_step,E1-to-no-reward withdrawal real minus pseudo transition step for catch responses.,0.260825.2232,24ba096deb2d8931af3423b9b5682cdbeec7884c+dirty,21059,exploratory,technically valid sessions with at least one catch trial in every required 3-minute effect window,complete_required_effect_windows,0.045498971193415644,difference in probability differences,-0.03491925705467371,0.13135875955320397,0.95,mouse percentile bootstrap (10000 resamples),,,,,,,not_applicable,27,97,,,1853,equal-session mean within mouse; equal-mouse inference,seed=21059;n_resamples=10000,real signed(post - pre) - matched source-state pseudo signed(post - pre),,pass,
behavior_transition_qc,reward_withdrawal_catch_real_latency_step_seconds_mouse_mean,reward_withdrawal_catch_real_latency_step_seconds,Describe E1-to-no-reward withdrawal catch responder-only latency; positive means slowing after withdrawal or speeding after restoration for real transition response-latency step; no unconditional or inferential latency claim.,0.260825.2232,24ba096deb2d8931af3423b9b5682cdbeec7884c+dirty,21060,exploratory,technically valid sessions with at least one canonical response in every required 3-minute window; responder-only conditional latency summary,responders_in_all_required_effect_windows,-0.023926250000026055,seconds,-0.12454195833335988,0.05304518750001782,0.95,mouse percentile bootstrap (10000 resamples),,,,,,,not_applicable,12,14,,,38,equal-session mean within mouse; equal-mouse inference,seed=21060;n_resamples=10000,latency-specific signed(post - pre) at real boundary; conditional on canonical response in each window,,pass,
behavior_transition_qc,reward_withdrawal_catch_pseudo_latency_step_seconds_mouse_mean,reward_withdrawal_catch_pseudo_latency_step_seconds,Describe E1-to-no-reward withdrawal catch responder-only latency; positive means slowing after withdrawal or speeding after restoration for within-source-state pseudo response-latency step; no unconditional or inferential latency claim.,0.260825.2232,24ba096deb2d8931af3423b9b5682cdbeec7884c+dirty,21061,exploratory,technically valid sessions with at least one canonical response in every required 3-minute window; responder-only conditional latency summary,responders_in_all_required_effect_windows,-0.027236999999981516,seconds,-0.1349473562500485,0.07772330625004528,0.95,mouse percentile bootstrap (10000 resamples),,,,,,,not_applicable,10,15,,,42,equal-session mean within mouse; equal-mouse inference,seed=21061;n_resamples=10000,latency-specific signed(post - pre) at source-state temporal midpoint; conditional on canonical response in each window,,pass,
behavior_transition_qc,reward_withdrawal_catch_pseudo_controlled_latency_step_seconds_mouse_mean,reward_withdrawal_catch_pseudo_controlled_latency_step_seconds,Describe E1-to-no-reward withdrawal catch responder-only latency; positive means slowing after withdrawal or speeding after restoration for real minus pseudo response-latency step; no unconditional or inferential latency claim.,0.260825.2232,24ba096deb2d8931af3423b9b5682cdbeec7884c+dirty,,exploratory,technically valid sessions with at least one canonical response in every required 3-minute window; responder-only conditional latency summary,responders_in_all_required_effect_windows,,seconds,,,,,,,,,,,not_applicable,0,0,,,0,equal-session mean within mouse; equal-mouse inference,,real latency signed(post - pre) - matched source-state pseudo signed(post - pre); conditional on canonical response in each window,,not_estimable,fewer than two mice had a complete effect estimate
behavior_transition_qc,reward_withdrawal_go_minus_catch_real_step_mouse_mean,reward_withdrawal_go_minus_catch_real_step,E1-to-no-reward withdrawal real transition step for go-minus-catch responses.,0.260825.2232,24ba096deb2d8931af3423b9b5682cdbeec7884c+dirty,21063,exploratory,technically valid sessions with at least one go-minus-catch trial in every required 3-minute effect window,complete_required_effect_windows,0.15518217208032023,probability difference,0.0905377355840319,0.21872323920935033,0.95,mouse percentile bootstrap (10000 resamples),,,,,,,not_applicable,27,99,,,2965,equal-session mean within mouse; equal-mouse inference,seed=21063;n_resamples=10000,transition-specific signed(post - pre) at real boundary,,pass,
behavior_transition_qc,reward_withdrawal_go_minus_catch_pseudo_step_mouse_mean,reward_withdrawal_go_minus_catch_pseudo_step,E1-to-no-reward withdrawal within-source-state pseudo step for go-minus-catch responses.,0.260825.2232,24ba096deb2d8931af3423b9b5682cdbeec7884c+dirty,21064,exploratory,technically valid sessions with at least one go-minus-catch trial in every required 3-minute effect window,complete_required_effect_windows,0.05700342181823664,probability difference,-0.011005725027715768,0.1292313475704679,0.95,mouse percentile bootstrap (10000 resamples),,,,,,,not_applicable,27,97,,,2586,equal-session mean within mouse; equal-mouse inference,seed=21064;n_resamples=10000,transition-specific signed(post - pre) at source-state temporal midpoint,,pass,
