metadata_family,feature,feature_type,standardizer,eligible_mean,eligible_standard_deviation,discovery_mean,confirmation_mean,standardized_difference,absolute_standardized_difference,squared_standardized_difference,squared_standardized_difference_exact,family_mean_squared_standardized_difference,feature_weight_in_objective,weighted_objective_contribution
sex,sex=Female,categorical_indicator,eligible_mouse_sample_sd,0.16666666666666666,0.3834824944236852,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0,0.0,0.1,0.0
sex,sex=Male,categorical_indicator,eligible_mouse_sample_sd,0.8333333333333334,0.3834824944236852,0.8333333333333334,0.8333333333333334,0.0,0.0,0.0,0,0.0,0.1,0.0
genotype,genotype=Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,categorical_indicator,eligible_mouse_sample_sd,0.5,0.5144957554275266,0.5,0.5,0.0,0.0,0.0,0,0.0,0.06666666666666667,0.0
genotype,genotype=Vip-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,categorical_indicator,eligible_mouse_sample_sd,0.16666666666666666,0.3834824944236852,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0,0.0,0.06666666666666667,0.0
genotype,genotype=wt/wt,categorical_indicator,eligible_mouse_sample_sd,0.3333333333333333,0.48507125007266594,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0,0.0,0.06666666666666667,0.0
project_cohort,project_code=DynamicGating,categorical_indicator,eligible_mouse_sample_sd,0.8333333333333334,0.3834824944236852,0.8333333333333334,0.8333333333333334,0.0,0.0,0.0,0,0.0,0.1,0.0
project_cohort,project_code=DynamicGating_DEV,categorical_indicator,eligible_mouse_sample_sd,0.16666666666666666,0.3834824944236852,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0,0.0,0.1,0.0
recording_day,inventory_recording_day_mean,numeric_summary,eligible_mouse_sample_sd,2.4444444444444446,0.24253562503633297,2.4444444444444446,2.4444444444444446,0.0,0.0,0.0,0,0.011541909181841094,0.05,0.0
recording_day,inventory_recording_day_span,numeric_summary,eligible_mouse_sample_sd,2.7777777777777777,0.4277926319464986,2.75,2.8333333333333335,-0.1947984306184949,0.1947984306184949,0.03794642857142857,17/448,0.011541909181841094,0.05,0.0018973214285714286
recording_day,threshold_selected_recording_day_mean,numeric_summary,eligible_mouse_sample_sd,2.2037037037037037,0.7745029094312699,2.2083333333333335,2.1944444444444446,0.0179326490833814,0.0179326490833814,0.00032157990314769975,17/52864,0.011541909181841094,0.05,0.00001607899515738499
recording_day,threshold_selected_recording_day_span,numeric_summary,eligible_mouse_sample_sd,1.0555555555555556,0.9375953110592338,1.0833333333333333,1.0,0.08887985290710208,0.08887985290710208,0.007899628252788104,17/2152,0.011541909181841094,0.05,0.0003949814126394052
session_count,n_inventory_sessions,numeric_summary,eligible_mouse_sample_sd,3.6666666666666665,0.48507125007266594,3.6666666666666665,3.6666666666666665,0.0,0.0,0.0,0,0.006036931818181818,0.1,0.0
session_count,n_threshold_selected_sessions,numeric_summary,eligible_mouse_sample_sd,1.8888888888888888,0.7583952786593614,1.9166666666666667,1.8333333333333333,0.10988113412394157,0.10988113412394157,0.012073863636363636,17/1408,0.006036931818181818,0.1,0.0012073863636363636
