_nwb_path,subject_id,ecephys_session_id,recording_day,audit_scope,reward_block,block_order,n_trials,n_trials_with_valid_lick_vectors,n_trials_with_invalid_lick_vectors,n_trials_with_valid_response_event,n_trials_without_valid_response_event,n_trials_with_duplicate_lick_timestamps,n_trials_with_duplicate_response_window_licks,n_raw_lick_timestamps,n_unique_lick_timestamps,n_duplicate_lick_timestamps,n_raw_response_window_licks,n_unique_response_window_licks,n_duplicate_response_window_licks,n_response_window_licks,canonical_response_count_is_deduplicated,total_duplicate_count_consistent,response_window_duplicate_count_consistent,fraction_trials_with_duplicate_lick_timestamps,lick_timestamp_audit_status
https://dandiarchive.s3.amazonaws.com/blobs/585/411/5854110b-2b31-4bbf-881e-3280f7b87b95,604914,1173189336,EPHYS_2,session,all,0,798,798,0,262,536,255,255,2607,2351,256,624,368,256,368,true,true,true,0.31954887218045114,duplicates_reported
https://dandiarchive.s3.amazonaws.com/blobs/585/411/5854110b-2b31-4bbf-881e-3280f7b87b95,604914,1173189336,EPHYS_2,session_block,engaged_1,1,293,293,0,22,271,21,21,779,758,21,63,42,21,42,true,true,true,0.07167235494880546,duplicates_reported
https://dandiarchive.s3.amazonaws.com/blobs/585/411/5854110b-2b31-4bbf-881e-3280f7b87b95,604914,1173189336,EPHYS_2,session_block,no_reward,2,157,157,0,156,1,154,154,571,416,155,347,192,155,192,true,true,true,0.9808917197452229,duplicates_reported
https://dandiarchive.s3.amazonaws.com/blobs/585/411/5854110b-2b31-4bbf-881e-3280f7b87b95,604914,1173189336,EPHYS_2,session_block,engaged_2,3,348,348,0,84,264,80,80,1257,1177,80,214,134,80,134,true,true,true,0.22988505747126436,duplicates_reported
https://dandiarchive.s3.amazonaws.com/blobs/e5f/59c/e5f59ceb-77c6-417f-a55e-4574c0d390ba,604914,1173741216,EPHYS_4,session,all,0,487,487,0,387,100,0,0,535,535,0,55,55,0,55,true,true,true,0.0,pass
https://dandiarchive.s3.amazonaws.com/blobs/e5f/59c/e5f59ceb-77c6-417f-a55e-4574c0d390ba,604914,1173741216,EPHYS_4,session_block,engaged_1,1,160,160,0,67,93,0,0,440,440,0,43,43,0,43,true,true,true,0.0,pass
https://dandiarchive.s3.amazonaws.com/blobs/e5f/59c/e5f59ceb-77c6-417f-a55e-4574c0d390ba,604914,1173741216,EPHYS_4,session_block,no_reward,2,161,161,0,161,0,0,0,74,74,0,11,11,0,11,true,true,true,0.0,pass
https://dandiarchive.s3.amazonaws.com/blobs/e5f/59c/e5f59ceb-77c6-417f-a55e-4574c0d390ba,604914,1173741216,EPHYS_4,session_block,engaged_2,3,166,166,0,159,7,0,0,21,21,0,1,1,0,1,true,true,true,0.0,pass
https://dandiarchive.s3.amazonaws.com/blobs/324/6c5/3246c508-0142-4e96-b1f4-13ab63ee636e,607660,1182628226,EPHYS_2,session,all,0,643,643,0,322,321,0,0,1171,1171,0,73,73,0,73,true,true,true,0.0,pass
https://dandiarchive.s3.amazonaws.com/blobs/324/6c5/3246c508-0142-4e96-b1f4-13ab63ee636e,607660,1182628226,EPHYS_2,session_block,engaged_1,1,205,205,0,50,155,0,0,393,393,0,41,41,0,41,true,true,true,0.0,pass
https://dandiarchive.s3.amazonaws.com/blobs/324/6c5/3246c508-0142-4e96-b1f4-13ab63ee636e,607660,1182628226,EPHYS_2,session_block,no_reward,2,157,157,0,157,0,0,0,172,172,0,8,8,0,8,true,true,true,0.0,pass
