subject_id,behavior_block,block_order,response_probability,n_sessions_response_contributing,n_responses,n_go_trials,false_alarm_probability,n_sessions_false_alarm_contributing,n_false_alarms,n_catch_trials,dprime,n_sessions_dprime_contributing,n_sessions_inventory,n_sessions_in_cohort,session_cohort,aggregation_method,n_sessions_contributing
604914,engaged_1,1,0.7659574468085106,2,37,59,0.5588235294117647,2,9,24,0.6992209074880155,2,2,2,technically_valid,equal_session_mean,2
604914,no_reward_late,2,0.54,2,47,93,0.5,2,15,30,0.4631430465490366,2,2,2,technically_valid,equal_session_mean,2
604914,engaged_2_early,3,0.5,2,41,112,0.5,2,14,39,0.018025924424255546,2,2,2,technically_valid,equal_session_mean,2
604914,engaged_2_late,4,0.5104166666666666,2,23,70,0.5,2,7,22,0.2379133963925013,2,2,2,technically_valid,equal_session_mean,2
604914,engaged_1,1,,0,0,0,,0,0,0,,0,2,0,threshold_selected,equal_session_mean,0
604914,no_reward_late,2,,0,0,0,,0,0,0,,0,2,0,threshold_selected,equal_session_mean,0
604914,engaged_2_early,3,,0,0,0,,0,0,0,,0,2,0,threshold_selected,equal_session_mean,0
604914,engaged_2_late,4,,0,0,0,,0,0,0,,0,2,0,threshold_selected,equal_session_mean,0
607660,engaged_1,1,0.513260588516343,4,69,141,0.14734848484848484,4,7,46,1.0483171359516257,4,4,4,technically_valid,equal_session_mean,4
607660,no_reward_late,2,0.11201446967933026,4,21,187,0.03571428571428571,4,2,62,0.4480169579800568,4,4,4,technically_valid,equal_session_mean,4
607660,engaged_2_early,3,0.2614415364941204,4,38,165,0.11927319004524888,4,6,54,0.3806491143908484,4,4,4,technically_valid,equal_session_mean,4
607660,engaged_2_late,4,0.28535353535353536,4,37,136,0.07272727272727272,4,3,46,0.584631833522519,4,4,4,technically_valid,equal_session_mean,4
607660,engaged_1,1,,0,0,0,,0,0,0,,0,4,0,threshold_selected,equal_session_mean,0
607660,no_reward_late,2,,0,0,0,,0,0,0,,0,4,0,threshold_selected,equal_session_mean,0
607660,engaged_2_early,3,,0,0,0,,0,0,0,,0,4,0,threshold_selected,equal_session_mean,0
607660,engaged_2_late,4,,0,0,0,,0,0,0,,0,4,0,threshold_selected,equal_session_mean,0
608671,engaged_1,1,0.5066953610712578,4,88,172,0.06919642857142858,4,4,57,1.4419740504781617,4,4,4,technically_valid,equal_session_mean,4
608671,no_reward_late,2,0.0,4,0,189,0.03333333333333333,4,2,63,-0.6437023506856607,4,4,4,technically_valid,equal_session_mean,4
608671,engaged_2_early,3,0.21632077991452991,4,46,238,0.055330882352941174,4,4,76,0.5216923677245475,4,4,4,technically_valid,equal_session_mean,4
608671,engaged_2_late,4,0.225,4,29,152,0.041666666666666664,4,2,54,0.38401950831353704,4,4,4,technically_valid,equal_session_mean,4
608671,engaged_1,1,,0,0,0,,0,0,0,,0,4,0,threshold_selected,equal_session_mean,0
608671,no_reward_late,2,,0,0,0,,0,0,0,,0,4,0,threshold_selected,equal_session_mean,0
608671,engaged_2_early,3,,0,0,0,,0,0,0,,0,4,0,threshold_selected,equal_session_mean,0
608671,engaged_2_late,4,,0,0,0,,0,0,0,,0,4,0,threshold_selected,equal_session_mean,0
608672,engaged_1,1,0.6670987778000401,4,92,137,0.17381229881229882,4,8,47,1.2896699507152691,4,4,4,technically_valid,equal_session_mean,4
608672,no_reward_late,2,0.10132278872294423,4,19,184,0.058823529411764705,4,4,64,0.19063439739385896,4,4,4,technically_valid,equal_session_mean,4
608672,engaged_2_early,3,0.3148759820223636,4,52,202,0.12996031746031747,4,7,64,0.38577429847714184,4,4,4,technically_valid,equal_session_mean,4
608672,engaged_2_late,4,0.25353095030514383,4,32,138,0.09545454545454546,4,4,50,0.49859489777900656,4,4,4,technically_valid,equal_session_mean,4
608672,engaged_1,1,,0,0,0,,0,0,0,,0,4,0,threshold_selected,equal_session_mean,0
608672,no_reward_late,2,,0,0,0,,0,0,0,,0,4,0,threshold_selected,equal_session_mean,0
608672,engaged_2_early,3,,0,0,0,,0,0,0,,0,4,0,threshold_selected,equal_session_mean,0
608672,engaged_2_late,4,,0,0,0,,0,0,0,,0,4,0,threshold_selected,equal_session_mean,0
611160,engaged_1,1,0.6878787878787879,3,66,96,0.16666666666666666,3,5,32,1.475933146860682,3,3,3,technically_valid,equal_session_mean,3
611160,no_reward_late,2,0.057971014492753624,3,8,139,0.0,3,0,48,0.24838894389269162,3,3,3,technically_valid,equal_session_mean,3
611160,engaged_2_early,3,0.33336316982933517,3,54,162,0.0,3,0,51,1.488488103422401,3,3,3,technically_valid,equal_session_mean,3
611160,engaged_2_late,4,0.5721198156682028,3,60,106,0.0,3,0,35,1.9276736715712268,3,3,3,technically_valid,equal_session_mean,3
611160,engaged_1,1,,0,0,0,,0,0,0,,0,3,0,threshold_selected,equal_session_mean,0
611160,no_reward_late,2,,0,0,0,,0,0,0,,0,3,0,threshold_selected,equal_session_mean,0
611160,engaged_2_early,3,,0,0,0,,0,0,0,,0,3,0,threshold_selected,equal_session_mean,0
611160,engaged_2_late,4,,0,0,0,,0,0,0,,0,3,0,threshold_selected,equal_session_mean,0
611166,engaged_1,1,0.5303903903903904,4,71,135,0.12713675213675213,4,6,47,1.1815046617308003,4,4,4,technically_valid,equal_session_mean,4
611166,no_reward_late,2,0.06286531456554253,4,12,189,0.03333333333333333,4,2,62,0.1709943011656206,4,4,4,technically_valid,equal_session_mean,4
611166,engaged_2_early,3,0.31344696969696967,4,52,188,0.05416666666666666,4,3,61,0.7364106446545696,4,4,4,technically_valid,equal_session_mean,4
611166,engaged_2_late,4,0.2512800417972832,4,31,136,0.12184343434343434,4,5,46,0.12568317836777693,4,4,4,technically_valid,equal_session_mean,4
611166,engaged_1,1,,0,0,0,,0,0,0,,0,4,0,threshold_selected,equal_session_mean,0
611166,no_reward_late,2,,0,0,0,,0,0,0,,0,4,0,threshold_selected,equal_session_mean,0
611166,engaged_2_early,3,,0,0,0,,0,0,0,,0,4,0,threshold_selected,equal_session_mean,0
611166,engaged_2_late,4,,0,0,0,,0,0,0,,0,4,0,threshold_selected,equal_session_mean,0
612090,engaged_1,1,0.5922740621089874,4,105,179,0.09895833333333333,4,6,59,1.396732956736841,4,4,4,technically_valid,equal_session_mean,4
612090,no_reward_late,2,0.10276636041263701,4,19,186,0.03333333333333333,4,2,66,0.39676782257260246,4,4,4,technically_valid,equal_session_mean,4
612090,engaged_2_early,3,0.5717696046509185,4,131,230,0.05704365079365079,4,4,76,1.669753867826088,4,4,4,technically_valid,equal_session_mean,4
612090,engaged_2_late,4,0.5935567474404486,4,84,142,0.10950854700854701,4,5,46,1.3168329855689556,4,4,4,technically_valid,equal_session_mean,4
612090,engaged_1,1,0.62000177978168,3,77,124,0.0763888888888889,3,3,41,1.5550381469935706,3,4,3,threshold_selected,equal_session_mean,3
612090,no_reward_late,2,0.1015608209757146,3,14,139,0.044444444444444446,3,2,48,0.28388268078767637,3,4,3,threshold_selected,equal_session_mean,3
612090,engaged_2_early,3,0.589945679764443,3,101,172,0.057539682539682536,3,3,58,1.7414432927973396,3,4,3,threshold_selected,equal_session_mean,3
612090,engaged_2_late,4,0.5893887945670628,3,64,109,0.09045584045584044,3,3,34,1.3789802561951612,3,4,3,threshold_selected,equal_session_mean,3
614547,engaged_1,1,0.7966401414677277,3,77,97,0.19269619269619268,3,6,33,1.6272611343740042,3,3,3,technically_valid,equal_session_mean,3
614547,no_reward_late,2,0.22802721088435374,3,34,149,0.18452380952380953,3,8,44,0.14656101548797693,3,3,3,technically_valid,equal_session_mean,3
614547,engaged_2_early,3,0.7727834396169815,3,102,133,0.16666666666666666,3,7,44,1.6624927803085796,3,3,3,technically_valid,equal_session_mean,3
614547,engaged_2_late,4,0.7235209235209235,3,60,84,0.05555555555555555,3,2,31,1.978409173689413,3,3,3,technically_valid,equal_session_mean,3
614547,engaged_1,1,0.7692307692307693,1,30,39,0.15384615384615385,1,2,13,1.635190416648566,1,3,1,threshold_selected,equal_session_mean,1
614547,no_reward_late,2,0.16,1,8,50,0.07142857142857142,1,1,14,0.31412999944289943,1,3,1,threshold_selected,equal_session_mean,1
614547,engaged_2_early,3,0.8285714285714286,1,29,35,0.25,1,3,12,1.528391031279582,1,3,1,threshold_selected,equal_session_mean,1
614547,engaged_2_late,4,0.8181818181818182,1,18,22,0.0,1,0,8,2.4504731382442286,1,3,1,threshold_selected,equal_session_mean,1
