subject_id,transition_id,transition_order,condition,n_sessions_inventory,n_sessions_in_analysis,real_step,n_sessions_real_step,n_real_window_trials,pseudo_step,n_sessions_pseudo_step,n_pseudo_window_trials,pseudo_controlled_step,n_sessions_pseudo_controlled_step,n_controlled_window_trials,real_latency_step_seconds,n_sessions_real_latency_step_seconds,n_real_window_latency_responses,pseudo_latency_step_seconds,n_sessions_pseudo_latency_step_seconds,n_pseudo_window_latency_responses,pseudo_controlled_latency_step_seconds,n_sessions_pseudo_controlled_latency_step_seconds,n_controlled_window_latency_responses,within_mouse_aggregation
604914,reward_withdrawal,1,catch,2,2,0.0,2,17,0.2,1,9,-0.2,1,18,-0.00006999999988011041,1,8,,0,0,,0,0,equal_session_mean
604914,reward_withdrawal,1,go,2,2,0.16666666666666666,2,49,-0.041666666666666685,2,27,0.20833333333333334,2,76,0.0005100000000197724,1,22,0.0038849999999399643,2,17,-0.006709999999941374,1,27,equal_session_mean
604914,reward_withdrawal,1,go_minus_catch,2,2,0.16666666666666666,2,66,-0.2833333333333334,1,31,0.6166666666666667,1,67,,0,0,,0,0,,0,0,equal_session_mean
604914,reward_restoration,2,catch,2,2,0.0,2,15,0.0,2,20,0.0,2,35,0.0006300000000010186,1,6,-0.00012999999989915523,1,10,0.0007599999999001739,1,16,equal_session_mean
604914,reward_restoration,2,go,2,2,-0.03125,2,51,-0.043589743589743594,2,55,0.012339743589743594,2,106,0.00007000000005064066,1,21,0.03344749999996566,2,30,-0.0001449999999749707,1,48,equal_session_mean
604914,reward_restoration,2,go_minus_catch,2,2,-0.03125,2,66,-0.043589743589743594,2,75,0.012339743589743594,2,141,,0,0,,0,0,,0,0,equal_session_mean
607660,reward_withdrawal,1,catch,4,4,-0.04999999999999999,4,35,-0.20833333333333331,4,19,0.1583333333333333,4,54,,0,0,,0,0,,0,0,equal_session_mean
607660,reward_withdrawal,1,go,4,4,0.3328171828171828,4,87,-0.008928571428571425,4,58,0.34174575424575426,4,145,-0.09464500000002829,4,32,0.09626374999998433,4,27,-0.19090875000001262,4,59,equal_session_mean
607660,reward_withdrawal,1,go_minus_catch,4,4,0.3828171828171828,4,122,0.19940476190476192,4,77,0.1834124209124209,4,199,,0,0,,0,0,,0,0,equal_session_mean
607660,reward_restoration,2,catch,4,4,0.08333333333333333,3,25,0.0,4,37,0.08333333333333333,3,52,,0,0,,0,0,,0,0,equal_session_mean
607660,reward_restoration,2,go,4,4,0.1738095238095238,4,85,-0.03988095238095238,4,114,0.21369047619047615,4,199,-0.0336974999999029,2,10,0.10081999999994196,2,11,-0.13451749999984486,2,21,equal_session_mean
607660,reward_restoration,2,go_minus_catch,4,4,-0.018253968253968245,3,95,-0.03988095238095238,4,151,-0.07619047619047621,3,210,,0,0,,0,0,,0,0,equal_session_mean
608671,reward_withdrawal,1,catch,4,4,-0.05,4,34,-0.033333333333333326,4,27,-0.016666666666666677,4,61,,0,0,,0,0,,0,0,equal_session_mean
608671,reward_withdrawal,1,go,4,4,0.27164918414918415,4,98,-0.0333041958041958,4,82,0.30495337995337995,4,180,-0.029396249999948054,4,29,-0.05827875000006344,4,36,0.028882500000115385,4,65,equal_session_mean
608671,reward_withdrawal,1,go_minus_catch,4,4,0.32164918414918414,4,132,0.000029137529137523988,4,109,0.3216200466200466,4,241,,0,0,,0,0,,0,0,equal_session_mean
608671,reward_restoration,2,catch,4,4,0.125,4,30,0.05,4,38,0.075,4,68,,0,0,,0,0,,0,0,equal_session_mean
608671,reward_restoration,2,go,4,4,0.2683531746031746,4,94,0.04166666666666667,4,112,0.22668650793650794,4,206,,0,0,-0.06677000000001954,1,5,,0,0,equal_session_mean
