subject_id,transition_id,transition_order,anchor_type,condition,bin_index,analysis_block,relative_trial_start,relative_trial_stop,relative_trial_center,n_sessions_inventory,n_sessions_in_analysis,n_sessions_response_contributing,response_probability,n_trials_contributing,n_responses_contributing,n_sessions_latency_contributing,mean_session_median_response_latency_seconds,n_latency_responses_contributing,n_sessions_response_missing,n_sessions_latency_missing,mouse_bin_status,within_mouse_aggregation
604914,reward_withdrawal,1,pseudo,catch,-3,engaged_1,-24,-17,-20.5,2,2,0,,0,0,0,,0,2,2,no_condition_trials,equal_session_mean
604914,reward_withdrawal,1,pseudo,catch,-2,engaged_1,-16,-9,-12.5,2,2,1,0.0,3,0,0,,0,1,2,observed,equal_session_mean
604914,reward_withdrawal,1,pseudo,catch,-1,engaged_1,-8,-1,-4.5,2,2,1,0.5,2,1,1,0.3933000000000675,1,1,1,observed,equal_session_mean
604914,reward_withdrawal,1,pseudo,catch,1,engaged_1,1,8,4.5,2,2,2,0.5,3,1,1,0.1943899999999985,1,0,1,observed,equal_session_mean
604914,reward_withdrawal,1,pseudo,catch,2,engaged_1,9,16,12.5,2,2,1,0.0,2,0,0,,0,1,2,observed,equal_session_mean
604914,reward_withdrawal,1,pseudo,catch,3,engaged_1,17,24,20.5,2,2,1,0.5,2,1,1,0.3447200000000521,1,1,1,observed,equal_session_mean
604914,reward_withdrawal,1,pseudo,go,-3,engaged_1,-24,-17,-20.5,2,2,0,,0,0,0,,0,2,2,no_condition_trials,equal_session_mean
604914,reward_withdrawal,1,pseudo,go,-2,engaged_1,-16,-9,-12.5,2,2,1,0.6,5,3,1,0.42870000000004893,3,1,1,observed,equal_session_mean
604914,reward_withdrawal,1,pseudo,go,-1,engaged_1,-8,-1,-4.5,2,2,1,0.5,6,3,1,0.5299300000000358,3,1,1,observed,equal_session_mean
604914,reward_withdrawal,1,pseudo,go,1,engaged_1,1,8,4.5,2,2,2,0.75,13,10,2,0.32790000000002806,10,0,0,observed,equal_session_mean
604914,reward_withdrawal,1,pseudo,go,2,engaged_1,9,16,12.5,2,2,1,0.6666666666666666,6,4,1,0.5617699999999672,4,1,1,observed,equal_session_mean
604914,reward_withdrawal,1,pseudo,go,3,engaged_1,17,24,20.5,2,2,1,0.6666666666666666,6,4,1,0.38726499999995667,4,1,1,observed,equal_session_mean
604914,reward_withdrawal,1,real,catch,-3,engaged_1,-24,-17,-20.5,2,2,1,0.3333333333333333,3,1,1,0.3447200000000521,1,1,1,observed,equal_session_mean
604914,reward_withdrawal,1,real,catch,-2,engaged_1,-16,-9,-12.5,2,2,2,0.5,4,2,1,0.1860849999999914,2,0,1,observed,equal_session_mean
604914,reward_withdrawal,1,real,catch,-1,engaged_1,-8,-1,-4.5,2,2,2,0.5,6,4,1,0.17798499999992146,4,0,1,observed,equal_session_mean
604914,reward_withdrawal,1,real,catch,1,no_reward,1,8,4.5,2,2,1,0.0,1,0,0,,0,1,2,observed,equal_session_mean
604914,reward_withdrawal,1,real,catch,2,no_reward,9,16,12.5,2,2,2,0.5,6,3,1,0.17799999999999727,3,0,1,observed,equal_session_mean
604914,reward_withdrawal,1,real,catch,3,no_reward,17,24,20.5,2,2,2,0.5,2,1,1,0.1756399999999303,1,0,1,observed,equal_session_mean
604914,reward_withdrawal,1,real,go,-3,engaged_1,-24,-17,-20.5,2,2,1,0.6,5,3,1,0.3621499999999287,3,1,1,observed,equal_session_mean
604914,reward_withdrawal,1,real,go,-2,engaged_1,-16,-9,-12.5,2,2,2,0.75,12,9,2,0.38699249999997676,9,0,0,observed,equal_session_mean
604914,reward_withdrawal,1,real,go,-1,engaged_1,-8,-1,-4.5,2,2,2,0.5833333333333334,10,5,2,0.3279974999999524,5,0,0,observed,equal_session_mean
