subject_id,sex,genotype,project_code,project_cohort,n_inventory_sessions,n_threshold_selected_sessions,n_excluded_inventory_sessions,n_recording_days,recording_day_sum,recording_day_min,recording_day_mean,recording_day_max,recording_day_span,n_threshold_selected_recording_days,threshold_selected_recording_day_sum,threshold_selected_recording_day_min,threshold_selected_recording_day_mean,threshold_selected_recording_day_max,threshold_selected_recording_day_span,mouse_behavior_eligible,mouse_exclusion_reason,cohort_assignment,allocation_status,split_seed,confirmation_access_policy,neural_activity_used_for_allocation
604914,Female,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,DynamicGating_DEV,DynamicGating_DEV,2,0,2,2,6,2,3.0,4,2,0,,,,,,false,no_threshold_selected_sessions,excluded,provisional_pending_coarse_regional_coverage,1051,not_applicable,false
607660,Female,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,DynamicGating_DEV,DynamicGating_DEV,4,0,4,4,10,1,2.5,4,3,0,,,,,,false,no_threshold_selected_sessions,excluded,provisional_pending_coarse_regional_coverage,1051,not_applicable,false
608671,Male,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,DynamicGating_DEV,DynamicGating_DEV,4,0,4,4,10,1,2.5,4,3,0,,,,,,false,no_threshold_selected_sessions,excluded,provisional_pending_coarse_regional_coverage,1051,not_applicable,false
608672,Female,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,DynamicGating_DEV,DynamicGating_DEV,4,0,4,4,10,1,2.5,4,3,0,,,,,,false,no_threshold_selected_sessions,excluded,provisional_pending_coarse_regional_coverage,1051,not_applicable,false
611160,Male,Ai32(RCL-ChR2(H134R)_EYFP)/wt,DynamicGating_DEV,DynamicGating_DEV,3,0,3,3,9,2,3.0,4,2,0,,,,,,false,no_threshold_selected_sessions,excluded,provisional_pending_coarse_regional_coverage,1051,not_applicable,false
611166,Female,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,DynamicGating_DEV,DynamicGating_DEV,4,0,4,4,10,1,2.5,4,3,0,,,,,,false,no_threshold_selected_sessions,excluded,provisional_pending_coarse_regional_coverage,1051,not_applicable,false
612090,Male,Vip-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,DynamicGating_DEV,DynamicGating_DEV,4,3,1,4,10,1,2.5,4,3,3,6,1,2.0,3,2,true,,confirmation,provisional_pending_coarse_regional_coverage,1051,provisional_holdout_not_activated,false
614547,Male,Vip-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,DynamicGating_DEV,DynamicGating_DEV,3,1,2,3,7,1,2.3333333333333335,4,3,1,4,4,4.0,4,0,true,,discovery,provisional_pending_coarse_regional_coverage,1051,provisional_discovery_not_activated,false
614608,Male,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,DynamicGating_DEV,DynamicGating_DEV,4,2,2,4,10,1,2.5,4,3,2,4,1,2.0,3,2,true,,discovery,provisional_pending_coarse_regional_coverage,1051,provisional_discovery_not_activated,false
615047,Male,Vip-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,DynamicGating_DEV,DynamicGating_DEV,4,0,4,4,10,1,2.5,4,3,0,,,,,,false,no_threshold_selected_sessions,excluded,provisional_pending_coarse_regional_coverage,1051,not_applicable,false
615048,Male,Vip-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,DynamicGating,DynamicGating,4,2,2,4,10,1,2.5,4,3,2,3,1,1.5,2,1,true,,discovery,provisional_pending_coarse_regional_coverage,1051,provisional_discovery_not_activated,false
615563,Male,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,DynamicGating,DynamicGating,3,3,0,3,8,1,2.6666666666666665,4,3,3,8,1,2.6666666666666665,4,3,true,,confirmation,provisional_pending_coarse_regional_coverage,1051,provisional_holdout_not_activated,false
615564,Male,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,DynamicGating,DynamicGating,4,2,2,4,10,1,2.5,4,3,2,3,1,1.5,2,1,true,,discovery,provisional_pending_coarse_regional_coverage,1051,provisional_discovery_not_activated,false
623319,Male,wt/wt,DynamicGating,DynamicGating,3,2,1,3,9,2,3.0,4,2,2,6,2,3.0,4,2,true,,discovery,provisional_pending_coarse_regional_coverage,1051,provisional_discovery_not_activated,false
623322,Male,wt/wt,DynamicGating,DynamicGating,4,3,1,4,10,1,2.5,4,3,3,9,2,3.0,4,2,true,,discovery,provisional_pending_coarse_regional_coverage,1051,provisional_discovery_not_activated,false
623784,Male,wt/wt,DynamicGating,DynamicGating,4,1,3,4,10,1,2.5,4,3,1,2,2,2.0,2,0,true,,confirmation,provisional_pending_coarse_regional_coverage,1051,provisional_holdout_not_activated,false
623786,Male,wt/wt,DynamicGating,DynamicGating,4,2,2,4,10,1,2.5,4,3,2,5,2,2.5,3,1,true,,confirmation,provisional_pending_coarse_regional_coverage,1051,provisional_holdout_not_activated,false
626279,Male,wt/wt,DynamicGating,DynamicGating,4,1,3,4,10,1,2.5,4,3,1,1,1,1.0,1,0,true,,discovery,provisional_pending_coarse_regional_coverage,1051,provisional_discovery_not_activated,false
632295,Female,wt/wt,DynamicGating,DynamicGating,4,2,2,4,10,1,2.5,4,3,2,5,2,2.5,3,1,true,,discovery,provisional_pending_coarse_regional_coverage,1051,provisional_discovery_not_activated,false
633232,Female,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,DynamicGating,DynamicGating,4,0,4,4,10,1,2.5,4,3,0,,,,,,false,no_threshold_selected_sessions,excluded,provisional_pending_coarse_regional_coverage,1051,not_applicable,false
636740,Female,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,DynamicGating,DynamicGating,4,1,3,4,10,1,2.5,4,3,1,3,3,3.0,3,0,true,,confirmation,provisional_pending_coarse_regional_coverage,1051,provisional_holdout_not_activated,false
637483,Male,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,DynamicGating,DynamicGating,3,1,2,3,6,1,2.0,3,2,1,1,1,1.0,1,0,true,,confirmation,provisional_pending_coarse_regional_coverage,1051,provisional_holdout_not_activated,false
637488,Female,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,DynamicGating,DynamicGating,4,0,4,4,10,1,2.5,4,3,0,,,,,,false,no_threshold_selected_sessions,excluded,provisional_pending_coarse_regional_coverage,1051,not_applicable,false
638387,Male,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,DynamicGating,DynamicGating,4,1,3,4,10,1,2.5,4,3,1,2,2,2.0,2,0,true,,discovery,provisional_pending_coarse_regional_coverage,1051,provisional_discovery_not_activated,false
640887,Male,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,DynamicGating,DynamicGating,3,2,1,3,6,1,2.0,3,2,2,5,2,2.5,3,1,true,,discovery,provisional_pending_coarse_regional_coverage,1051,provisional_discovery_not_activated,false
640890,Male,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,DynamicGating,DynamicGating,4,2,2,4,10,1,2.5,4,3,2,3,1,1.5,2,1,true,,discovery,provisional_pending_coarse_regional_coverage,1051,provisional_discovery_not_activated,false
642504,Female,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,DynamicGating,DynamicGating,3,3,0,3,6,1,2.0,3,2,3,6,1,2.0,3,2,true,,discovery,provisional_pending_coarse_regional_coverage,1051,provisional_discovery_not_activated,false
