subject_id,reversible_gating_estimate,withdrawal_suppression_estimate,restoration_recovery_estimate,engaged_response_drift_estimate,n_sessions_contributing,reversible_specificity_gating_estimate,withdrawal_specificity_suppression_estimate,restoration_specificity_recovery_estimate,engaged_specificity_drift_estimate,n_sessions_specificity_contributing,n_sessions_inventory,n_sessions_in_cohort,session_cohort,aggregation_method
604914,0.09297872340425531,0.22595744680851063,-0.04,-0.26595744680851063,2,0.06356695869837295,0.1671339173967459,-0.04,-0.20713391739674591,2,2,2,technically_valid,equal_session_mean
604914,,,,,0,,,,,0,2,0,threshold_selected,equal_session_mean
607660,0.27533659282590145,0.4012461188370127,0.14942706681479012,-0.2518190520222226,4,0.17774004109332028,0.2896119197028136,0.06586816248382696,-0.22374375721898665,4,4,4,technically_valid,equal_session_mean
607660,,,,,0,,,,,0,4,0,threshold_selected,equal_session_mean
608671,0.36150807049289385,0.5066953610712578,0.21632077991452991,-0.2903745811567279,4,0.3325777483640423,0.4708322658331625,0.19432323089492207,-0.27650903493824047,4,4,4,technically_valid,equal_session_mean
608671,,,,,0,,,,,0,4,0,threshold_selected,equal_session_mean
608672,0.38966459118825764,0.5657759890770959,0.21355319329941938,-0.35222279577767646,4,0.29660181246371414,0.45078721967656177,0.14241640525086663,-0.30837081442569514,4,4,4,technically_valid,equal_session_mean
608672,,,,,0,,,,,0,4,0,threshold_selected,equal_session_mean
611160,0.45264996436130794,0.6299077733860342,0.2753921553365816,-0.35451561804945264,3,0.3693166310279746,0.4632411067193676,0.2753921553365816,-0.18784895138278598,3,3,3,technically_valid,equal_session_mean
611160,,,,,0,,,,,0,3,0,threshold_selected,equal_session_mean
611166,0.35905336547813754,0.46752507582484787,0.25058165513142716,-0.21694342069342074,4,0.30173498940976146,0.3737216570214291,0.22974832179809382,-0.14397333522333527,4,4,4,technically_valid,equal_session_mean
611166,,,,,0,,,,,0,4,0,threshold_selected,equal_session_mean
612090,0.4792554729673159,0.48950770169635033,0.4690032442382815,-0.020504457458068837,4,0.4345878142371572,0.42388270169635034,0.44529292677796406,0.02141022508161368,4,4,4,technically_valid,equal_session_mean
612090,0.503412908797347,0.5184409588059654,0.48838485878872845,-0.030056100017237058,3,0.48089306752750577,0.486496514361521,0.4752896206934904,-0.011206893668030718,3,4,3,threshold_selected,equal_session_mean
