subject_id,n_sessions,n_units,n_engaged_1_trials,n_no_reward_trials,n_engaged_2_trials,e1_nr_oof_auc,e1_nr_oof_mean_difference,e2_transfer_recovery
614547,1,767,20,60,29,0.7141666666666666,0.13987904548416843,0.14089150505742853
614608,2,2426,44,116,82,0.8302442528735632,0.19640925901903483,0.019682878840464144
615048,2,2132,35,89,77,0.7866135331786911,0.1344289525858095,-0.012388781613936944
615564,2,2035,36,66,59,0.9177539608574092,0.27766751252055766,0.05093231062199062
623319,2,1597,26,94,54,0.6839569160997732,0.0944270491909752,-0.11045393548998447
623322,3,2399,67,117,123,0.9284322910142476,0.38968491596943383,-0.009115084794883025
626279,1,896,21,45,33,0.8603174603174604,0.28993308561204556,0.08132725828721604
632295,2,1880,27,86,66,0.7954867625599333,0.1666013744124869,0.03868303368171956
638387,1,650,21,29,25,0.8029556650246306,0.21353359388988863,-0.019304219851269802
640887,2,1768,48,100,87,0.9163478260869565,0.3089002756328856,0.23929990659285824
640890,2,2082,49,96,87,0.8973444095024643,0.28601457102924455,0.07079820254556335
642504,3,2035,69,137,128,0.8916645380154696,0.26862792231884347,0.11578431467448806
