subject_id,perturbation_family,condition,metric,n_sessions,n_trials,reversible_contrast
614547,contrast,full,behavior_response,1,54,0.6735930735930736
614608,contrast,full,behavior_response,2,120,0.4896817867552895
615048,contrast,full,behavior_response,2,79,0.49318148311956356
615564,contrast,full,behavior_response,2,65,0.4485119047619047
623319,contrast,full,behavior_response,2,70,0.8022727272727272
623322,contrast,full,behavior_response,3,123,0.5556848301623843
626279,contrast,full,behavior_response,1,39,0.5299145299145299
632295,contrast,full,behavior_response,2,72,0.6752442002442003
638387,contrast,full,behavior_response,1,29,0.3888888888888889
640887,contrast,full,behavior_response,2,92,0.853250773993808
640890,contrast,full,behavior_response,2,92,0.8014705882352942
642504,contrast,full,behavior_response,3,134,0.7024122807017544
614547,contrast,full,early_reward_axis,1,54,0.6863155421749455
614608,contrast,full,early_reward_axis,2,120,0.6857605870132504
615048,contrast,full,early_reward_axis,2,79,0.6649385723406205
615564,contrast,full,early_reward_axis,2,65,0.6875512978826268
623319,contrast,full,early_reward_axis,2,70,0.5749688808952531
623322,contrast,full,early_reward_axis,3,123,0.6511635381487025
626279,contrast,full,early_reward_axis,1,39,0.6848291618713914
632295,contrast,full,early_reward_axis,2,72,0.61336744889298
638387,contrast,full,early_reward_axis,1,29,0.6693018354999198
640887,contrast,full,early_reward_axis,2,92,0.7874189274542658
640890,contrast,full,early_reward_axis,2,92,0.7462726429520633
642504,contrast,full,early_reward_axis,3,134,0.6876859060829021
614547,contrast,reduced,behavior_response,1,51,0.3535219569702328
614608,contrast,reduced,behavior_response,2,119,0.11636310604096448
615048,contrast,reduced,behavior_response,2,83,0.28596230158730157
615564,contrast,reduced,behavior_response,2,64,0.413961038961039
623319,contrast,reduced,behavior_response,2,73,0.6498205741626795
623322,contrast,reduced,behavior_response,3,118,0.28895113600995953
626279,contrast,reduced,behavior_response,1,38,0.7211538461538461
632295,contrast,reduced,behavior_response,2,72,0.31016444855454145
638387,contrast,reduced,behavior_response,1,32,0.3166666666666667
640887,contrast,reduced,behavior_response,2,92,0.20870098039215684
640890,contrast,reduced,behavior_response,2,91,0.553125
642504,contrast,reduced,behavior_response,3,136,0.6719033081068685
614547,contrast,reduced,early_reward_axis,1,51,-0.02803401026177052
614608,contrast,reduced,early_reward_axis,2,119,0.11508802360406656
615048,contrast,reduced,early_reward_axis,2,83,0.10036978345064539
615564,contrast,reduced,early_reward_axis,2,64,0.23624768750743425
623319,contrast,reduced,early_reward_axis,2,73,-0.01799846363593694
623322,contrast,reduced,early_reward_axis,3,118,0.16208227364083447
626279,contrast,reduced,early_reward_axis,1,38,0.22735769300712144
632295,contrast,reduced,early_reward_axis,2,72,0.05321437569396287
638387,contrast,reduced,early_reward_axis,1,32,0.13545781730376674
640887,contrast,reduced,early_reward_axis,2,92,0.17521620956156267
640890,contrast,reduced,early_reward_axis,2,91,0.20460878534450555
642504,contrast,reduced,early_reward_axis,3,136,0.1906606811760199
614547,novelty,designated_novel,behavior_response,1,53,0.5004926108374385
614608,novelty,designated_novel,behavior_response,2,123,0.45219780219780215
615048,novelty,designated_novel,behavior_response,2,121,0.3526571941302076
615564,novelty,designated_novel,behavior_response,2,98,0.5295454545454545
623319,novelty,designated_novel,behavior_response,2,103,0.6400862068965517
623322,novelty,designated_novel,behavior_response,3,185,0.48990590327546846
626279,novelty,designated_novel,behavior_response,1,58,0.491901776384535
632295,novelty,designated_novel,behavior_response,2,109,0.6245238095238095
638387,novelty,designated_novel,behavior_response,1,45,0.6206636500754148
640887,novelty,designated_novel,behavior_response,2,141,0.8573112711043746
