reward_block,n_trials,n_source_units,n_target_units,base_r2,full_r2,source_added_r2,shift_full_r2,shift_source_added_r2,real_minus_shift_source_added_r2,outer_real_hyperparameters,outer_shift_hyperparameters,model_status,_nwb_path,subject_id,ecephys_session_id,source_region,target_region,source_unit_table_indices,target_unit_table_indices,nuisance_covariates
engaged_1,15,24,24,0.03240326583855824,0.01179729473113822,-0.020605971107420018,0.007619297938598724,-0.024783967899959514,0.004177996792539496,"[[100.0, 100.0, 1], [100.0, 10.0, 1], [100.0, 100.0, 8], [100.0, 10.0, 1]]","[[100.0, 100.0, 1], [100.0, 10.0, 1], [100.0, 100.0, 8], [100.0, 10.0, 1]]",pass,https://dandiarchive.s3.amazonaws.com/blobs/c78/ef5/c78ef53f-16de-4f5e-8235-afe87a226203,614547,1181731440,HPF,Isocortex,"[554, 582, 534, 788, 559, 1393, 562, 596, 1382, 859, 1328, 869, 884, 849, 542, 1357, 1387, 806, 874, 1298, 543, 1392, 817, 573]","[629, 1503, 1455, 1603, 1584, 668, 677, 1495, 635, 332, 166, 1648, 938, 953, 1469, 1492, 1449, 1483, 226, 959, 1622, 174, 224, 703]","[""session_time_linear"", ""session_time_quadratic"", ""image_identity:im115_r-1.0"", ""eventual_response_in_window"", ""eventual_response_latency"", ""response_latency_missing""]"
engaged_2,15,24,24,0.014655320872282829,-0.000994565567628669,-0.015649886439911498,-0.0035252324741783525,-0.01818055334646118,0.0025306669065496834,"[[100.0, 100.0, 1], [100.0, 100.0, 1], [100.0, 100.0, 8], [100.0, 100.0, 1]]","[[100.0, 100.0, 1], [100.0, 100.0, 1], [100.0, 100.0, 8], [100.0, 100.0, 1]]",pass,https://dandiarchive.s3.amazonaws.com/blobs/c78/ef5/c78ef53f-16de-4f5e-8235-afe87a226203,614547,1181731440,HPF,Isocortex,"[554, 582, 534, 788, 559, 1393, 562, 596, 1382, 859, 1328, 869, 884, 849, 542, 1357, 1387, 806, 874, 1298, 543, 1392, 817, 573]","[629, 1503, 1455, 1603, 1584, 668, 677, 1495, 635, 332, 166, 1648, 938, 953, 1469, 1492, 1449, 1483, 226, 959, 1622, 174, 224, 703]","[""session_time_linear"", ""session_time_quadratic"", ""image_identity:im115_r-1.0"", ""eventual_response_in_window"", ""eventual_response_latency"", ""response_latency_missing""]"
no_reward,15,24,24,0.027290583549765768,0.025003408927143145,-0.002287174622622623,0.02647606993534235,-0.0008145136144234177,-0.0014726610081992053,"[[100.0, 10.0, 1], [100.0, 100.0, 2], [100.0, 100.0, 4], [100.0, 100.0, 8]]","[[100.0, 10.0, 1], [100.0, 100.0, 2], [100.0, 100.0, 4], [100.0, 100.0, 8]]",pass,https://dandiarchive.s3.amazonaws.com/blobs/c78/ef5/c78ef53f-16de-4f5e-8235-afe87a226203,614547,1181731440,HPF,Isocortex,"[554, 582, 534, 788, 559, 1393, 562, 596, 1382, 859, 1328, 869, 884, 849, 542, 1357, 1387, 806, 874, 1298, 543, 1392, 817, 573]","[629, 1503, 1455, 1603, 1584, 668, 677, 1495, 635, 332, 166, 1648, 938, 953, 1469, 1492, 1449, 1483, 226, 959, 1622, 174, 224, 703]","[""session_time_linear"", ""session_time_quadratic"", ""image_identity:im115_r-1.0"", ""eventual_response_in_window"", ""eventual_response_latency"", ""response_latency_missing""]"
engaged_1,17,24,24,0.019950160211316237,-0.011575888749451702,-0.03152604896076794,0.008399231187830147,-0.01155092902348609,-0.01997511993728185,"[[100.0, 100.0, 8], [100.0, 100.0, 8], [100.0, 100.0, 8], [100.0, 10.0, 1]]","[[100.0, 100.0, 8], [100.0, 100.0, 8], [100.0, 100.0, 8], [100.0, 10.0, 1]]",pass,https://dandiarchive.s3.amazonaws.com/blobs/68c/a06/68ca0674-2a8a-4931-8d5b-10a3edfb0cfa,614608,1187475832,HPF,Isocortex,"[1061, 129, 1540, 122, 1539, 1180, 1056, 1052, 1129, 1548, 1186, 1175, 1193, 1166, 1063, 1137, 1150, 1552, 1205, 1163, 130, 1197, 1162, 1554]","[593, 1709, 2652, 2235, 2013, 2587, 2471, 1666, 1966, 2375, 2315, 2009, 1668, 2396, 620, 2522, 2488, 2034, 1677, 669, 2292, 646, 1239, 2004]","[""session_time_linear"", ""session_time_quadratic"", ""image_identity:im115_r-1.0"", ""eventual_response_in_window"", ""eventual_response_latency"", ""response_latency_missing""]"
engaged_2,17,24,24,0.03198733486138228,0.030885270851881308,-0.0011020640095009693,0.01936455711060736,-0.012622777750774916,0.011520713741273947,"[[100.0, 100.0, 4], [100.0, 100.0, 2], [100.0, 100.0, 8], [100.0, 100.0, 1]]","[[100.0, 100.0, 4], [100.0, 100.0, 2], [100.0, 100.0, 8], [100.0, 100.0, 1]]",pass,https://dandiarchive.s3.amazonaws.com/blobs/68c/a06/68ca0674-2a8a-4931-8d5b-10a3edfb0cfa,614608,1187475832,HPF,Isocortex,"[1061, 129, 1540, 122, 1539, 1180, 1056, 1052, 1129, 1548, 1186, 1175, 1193, 1166, 1063, 1137, 1150, 1552, 1205, 1163, 130, 1197, 1162, 1554]","[593, 1709, 2652, 2235, 2013, 2587, 2471, 1666, 1966, 2375, 2315, 2009, 1668, 2396, 620, 2522, 2488, 2034, 1677, 669, 2292, 646, 1239, 2004]","[""session_time_linear"", ""session_time_quadratic"", ""image_identity:im115_r-1.0"", ""eventual_response_in_window"", ""eventual_response_latency"", ""response_latency_missing""]"
no_reward,17,24,24,0.058349777030404226,0.04764623437292992,-0.010703542657474308,0.05003042699110105,-0.008319350039303175,-0.0023841926181711326,"[[100.0, 100.0, 1], [100.0, 100.0, 1], [100.0, 100.0, 1], [100.0, 100.0, 2]]","[[100.0, 100.0, 1], [100.0, 100.0, 1], [100.0, 100.0, 1], [100.0, 100.0, 2]]",pass,https://dandiarchive.s3.amazonaws.com/blobs/68c/a06/68ca0674-2a8a-4931-8d5b-10a3edfb0cfa,614608,1187475832,HPF,Isocortex,"[1061, 129, 1540, 122, 1539, 1180, 1056, 1052, 1129, 1548, 1186, 1175, 1193, 1166, 1063, 1137, 1150, 1552, 1205, 1163, 130, 1197, 1162, 1554]","[593, 1709, 2652, 2235, 2013, 2587, 2471, 1666, 1966, 2375, 2315, 2009, 1668, 2396, 620, 2522, 2488, 2034, 1677, 669, 2292, 646, 1239, 2004]","[""session_time_linear"", ""session_time_quadratic"", ""image_identity:im115_r-1.0"", ""eventual_response_in_window"", ""eventual_response_latency"", ""response_latency_missing""]"
engaged_1,24,24,24,0.08325713104574017,0.08574916020119006,0.002492029155449882,0.07968935036890346,-0.003567780676836718,0.0060598098322866,"[[100.0, 100.0, 4], [100.0, 100.0, 4], [100.0, 100.0, 2], [100.0, 100.0, 2]]","[[100.0, 100.0, 4], [100.0, 100.0, 4], [100.0, 100.0, 2], [100.0, 100.0, 2]]",pass,https://dandiarchive.s3.amazonaws.com/blobs/fd4/c49/fd4c4964-f02b-456e-af4d-b9407877d0de,614608,1187940755,HPF,Isocortex,"[670, 637, 564, 1024, 619, 1026, 610, 608, 580, 594, 1050, 669, 600, 609, 1055, 549, 581, 555, 1018, 1061, 1077, 634, 1066, 611]","[714, 1988, 2155, 1480, 215, 1777, 1496, 173, 289, 1567, 1939, 1497, 154, 1118, 2225, 210, 1523, 195, 1519, 803, 412, 235, 1615, 342]","[""session_time_linear"", ""session_time_quadratic"", ""image_identity:im115_r-1.0"", ""eventual_response_in_window"", ""eventual_response_latency"", ""response_latency_missing""]"
engaged_2,24,24,24,0.04674077563423684,0.042168489309638124,-0.004572286324598718,0.04213638842518885,-0.004604387209047989,0.00003210088444927095,"[[100.0, 100.0, 1], [100.0, 100.0, 1], [100.0, 100.0, 4], [100.0, 100.0, 4]]","[[100.0, 100.0, 1], [100.0, 100.0, 1], [100.0, 100.0, 4], [100.0, 100.0, 4]]",pass,https://dandiarchive.s3.amazonaws.com/blobs/fd4/c49/fd4c4964-f02b-456e-af4d-b9407877d0de,614608,1187940755,HPF,Isocortex,"[670, 637, 564, 1024, 619, 1026, 610, 608, 580, 594, 1050, 669, 600, 609, 1055, 549, 581, 555, 1018, 1061, 1077, 634, 1066, 611]","[714, 1988, 2155, 1480, 215, 1777, 1496, 173, 289, 1567, 1939, 1497, 154, 1118, 2225, 210, 1523, 195, 1519, 803, 412, 235, 1615, 342]","[""session_time_linear"", ""session_time_quadratic"", ""image_identity:im115_r-1.0"", ""eventual_response_in_window"", ""eventual_response_latency"", ""response_latency_missing""]"
no_reward,24,24,24,0.05267699892349442,0.028855342413390384,-0.02382165651010404,0.054053326571340654,0.0013763276478462316,-0.02519798415795027,"[[100.0, 100.0, 1], [100.0, 100.0, 1], [100.0, 100.0, 1], [100.0, 100.0, 8]]","[[100.0, 100.0, 1], [100.0, 100.0, 1], [100.0, 100.0, 1], [100.0, 100.0, 8]]",pass,https://dandiarchive.s3.amazonaws.com/blobs/fd4/c49/fd4c4964-f02b-456e-af4d-b9407877d0de,614608,1187940755,HPF,Isocortex,"[670, 637, 564, 1024, 619, 1026, 610, 608, 580, 594, 1050, 669, 600, 609, 1055, 549, 581, 555, 1018, 1061, 1077, 634, 1066, 611]","[714, 1988, 2155, 1480, 215, 1777, 1496, 173, 289, 1567, 1939, 1497, 154, 1118, 2225, 210, 1523, 195, 1519, 803, 412, 235, 1615, 342]","[""session_time_linear"", ""session_time_quadratic"", ""image_identity:im115_r-1.0"", ""eventual_response_in_window"", ""eventual_response_latency"", ""response_latency_missing""]"
engaged_1,17,24,24,0.06486931863453327,0.059846385848253636,-0.0050229327862796325,0.05892723920109044,-0.005942079433442826,0.0009191466471631937,"[[100.0, 100.0, 1], [100.0, 100.0, 1], [100.0, 100.0, 1], [100.0, 100.0, 1]]","[[100.0, 100.0, 1], [100.0, 100.0, 1], [100.0, 100.0, 1], [100.0, 100.0, 1]]",pass,https://dandiarchive.s3.amazonaws.com/blobs/75d/9d0/75d9d091-e7db-47d1-aac4-d41133e29393,615048,1197725774,HPF,Isocortex,"[1127, 1128, 1121, 1826, 710, 678, 699, 1118, 1795, 680, 1428, 1099, 673, 674, 1429, 1483, 1453, 1048, 1485, 1077, 701, 656, 668, 647]","[741, 1187, 778, 1574, 1920, 743, 1913, 465, 1933, 1951, 228, 722, 1936, 1579, 1984, 2210, 1985, 824, 1912, 1900, 289, 1174, 1642, 1600]","[""session_time_linear"", ""session_time_quadratic"", ""image_identity:im115_r-1.0"", ""eventual_response_in_window"", ""eventual_response_latency"", ""response_latency_missing""]"
