source_region,target_region,estimate,ci_low,ci_high,p_value,test_method,n_mice,n_sessions,n_trials,adjusted_p_value,nominated,status,reason
MB,Isocortex,0.010213663024834795,-0.0024581899981601374,0.026647652516293915,0.26953125,exact_two_sided_sign_flip,10,13,738,1.0,true,fragile,positive_discovery_nomination_not_familywise_significant
TH,HPF,0.008861708121570834,0.0013761945529402087,0.01674147880786918,0.0556640625,exact_two_sided_sign_flip,12,21,1206,1.0,false,null,discovery_screen_selection_biased
HPF,TH,0.007538218655154566,-0.0005763726632076917,0.015840612144894323,0.1142578125,exact_two_sided_sign_flip,12,21,1206,1.0,false,null,discovery_screen_selection_biased
MB,HPF,0.004755562590649481,-0.003162165259455564,0.013511799398360119,0.33203125,exact_two_sided_sign_flip,10,13,738,1.0,false,null,discovery_screen_selection_biased
MB,STR,0.003784693823006385,-0.010274320019936656,0.01761527838621686,0.61328125,exact_two_sided_sign_flip,9,12,675,1.0,false,null,discovery_screen_selection_biased
STR,Isocortex,0.0034430843044646383,-0.011502059093792046,0.01944492314315601,0.6943359375,exact_two_sided_sign_flip,11,18,1008,1.0,false,null,discovery_screen_selection_biased
TH,STR,0.0023707733494734303,-0.010548255070224482,0.01919637307686771,0.8818359375,exact_two_sided_sign_flip,11,18,1008,1.0,false,null,discovery_screen_selection_biased
HPF,STR,0.0017274648157538477,-0.012868373897294276,0.020346588274103832,0.8828125,exact_two_sided_sign_flip,11,18,1008,1.0,false,null,discovery_screen_selection_biased
TH,Isocortex,0.0013308187364978405,-0.006228547565050266,0.00937389042782521,0.75146484375,exact_two_sided_sign_flip,12,21,1206,1.0,false,null,discovery_screen_selection_biased
Isocortex,STR,0.0012744975807130769,-0.010409118505336658,0.01347282420738386,0.841796875,exact_two_sided_sign_flip,11,18,1008,1.0,false,null,discovery_screen_selection_biased
MB,TH,-0.000046716672779020806,-0.007150292024620987,0.006487064342596281,0.986328125,exact_two_sided_sign_flip,10,13,738,1.0,false,null,discovery_screen_selection_biased
HPF,MB,-0.00006328346208276104,-0.02179471930112304,0.02000255850692753,0.99609375,exact_two_sided_sign_flip,10,13,738,1.0,false,null,discovery_screen_selection_biased
STR,TH,-0.0012762573711962509,-0.007876512737402535,0.005354159806791044,0.720703125,exact_two_sided_sign_flip,11,18,1008,1.0,false,null,discovery_screen_selection_biased
HPF,Isocortex,-0.0017994488832808384,-0.027539967203077758,0.014521135783704276,0.99462890625,exact_two_sided_sign_flip,12,21,1206,1.0,false,null,discovery_screen_selection_biased
Isocortex,MB,-0.007176505873237526,-0.027096526096843248,0.00943296787483774,0.521484375,exact_two_sided_sign_flip,10,13,738,1.0,false,null,discovery_screen_selection_biased
STR,MB,-0.008214554274995064,-0.0302980381699192,0.008864413231221646,0.59375,exact_two_sided_sign_flip,9,12,675,1.0,false,null,discovery_screen_selection_biased
Isocortex,TH,-0.014754815905765389,-0.028072196912157277,-0.0016911160930479965,0.06103515625,exact_two_sided_sign_flip,12,21,1206,1.0,false,null,discovery_screen_selection_biased
STR,HPF,-0.01584415951932798,-0.05972209370640932,0.011428066200758872,0.7626953125,exact_two_sided_sign_flip,11,18,1008,1.0,false,null,discovery_screen_selection_biased
Isocortex,HPF,-0.016838352301922793,-0.03313269073271818,-0.0034693273023230437,0.041015625,exact_two_sided_sign_flip,12,21,1206,0.8203125,false,null,discovery_screen_selection_biased
TH,MB,-0.016925608253064273,-0.07371845156136787,0.015588572461406783,0.978515625,exact_two_sided_sign_flip,10,13,738,1.0,false,null,discovery_screen_selection_biased
