analysis_id,result_id,contrast_id,hypothesis,dandiset_version,code_version,seed,analysis_tier,inclusion_definition,missingness_stratum,estimate,scale,ci_low,ci_high,confidence_level,ci_method,test_statistic,test_method,p_value,adjusted_p_value,adjustment_method,multiplicity_family,sidedness,n_mice,n_sessions,n_probes,n_units,n_trials,aggregation,bootstrap_id,model_formula,cv_grouping,status,reason
heldout_perturbation_axis,behavior_response_contrast_full_reversible_mouse_mean,behavior_response_contrast_full_half_e1_e2_minus_nr,behavior_response follows reversible reward availability for the contrast probe condition full,0.260825.2232,b953bfdb128e3c196cb95c0499a91eeff0191f60+dirty,6100,discovery,behavior-eligible discovery sessions; Figure 2 isolation-only frozen axis; completed non-auto physical changes with no lick within +/-150 ms,complete E1/NR/E2 support with >=5 trials per session block,0.6178422556369516,response-probability difference,0.5343619024178783,0.7016882112825303,0.95,mouse percentile bootstrap,0.6178422556369516,exact_two_sided_sign_flip,0.00048828125,0.001953125,holm,perturbation_behavior_response_condition_contrasts,two-sided,12,23,,20667,969,equal-session mean within mouse; equal-mouse mean,mouse_percentile_10000_seed_6100,0.5 * E1 - NR + 0.5 * E2 within session and condition,frozen Figure 2 axis; contrast and designated-novel trials excluded from fitting,pass,discovery-only mechanistic constraint; D04 not applied; novelty is identity/day confounded and is not a pure first-exposure effect
heldout_perturbation_axis,behavior_response_contrast_reduced_reversible_mouse_mean,behavior_response_contrast_reduced_half_e1_e2_minus_nr,behavior_response follows reversible reward availability for the contrast probe condition reduced,0.260825.2232,b953bfdb128e3c196cb95c0499a91eeff0191f60+dirty,6101,discovery,behavior-eligible discovery sessions; Figure 2 isolation-only frozen axis; completed non-auto physical changes with no lick within +/-150 ms,complete E1/NR/E2 support with >=5 trials per session block,0.4075245303005213,response-probability difference,0.3059011104041079,0.5173779109963403,0.95,mouse percentile bootstrap,0.4075245303005213,exact_two_sided_sign_flip,0.00048828125,0.001953125,holm,perturbation_behavior_response_condition_contrasts,two-sided,12,23,,20667,969,equal-session mean within mouse; equal-mouse mean,mouse_percentile_10000_seed_6101,0.5 * E1 - NR + 0.5 * E2 within session and condition,frozen Figure 2 axis; contrast and designated-novel trials excluded from fitting,pass,discovery-only mechanistic constraint; D04 not applied; novelty is identity/day confounded and is not a pure first-exposure effect
heldout_perturbation_axis,behavior_response_contrast_state_by_perturbation_interaction_mouse_mean,behavior_response_contrast_test_minus_reference_reversible_contrast,The reversible reward-state contrast differs between the held-out contrast condition and its reference,0.260825.2232,b953bfdb128e3c196cb95c0499a91eeff0191f60+dirty,6102,discovery,behavior-eligible discovery sessions; Figure 2 isolation-only frozen axis; completed non-auto physical changes with no lick within +/-150 ms,complete E1/NR/E2 support with >=5 trials per session block,-0.2103177253364302,difference in response-probability contrasts,-0.32687352573955525,-0.09482004322191352,0.95,mouse percentile bootstrap,0.2103177253364302,exact_two_sided_sign_flip,0.005859375,0.01171875,holm,perturbation_behavior_response_interactions,two-sided,12,23,,20667,1938,equal-session mean within mouse; equal-mouse mean,mouse_percentile_10000_seed_6102,held-out perturbation minus reference difference in 0.5 * E1 - NR + 0.5 * E2,frozen Figure 2 axis; contrast and designated-novel trials excluded from fitting,pass,discovery-only mechanistic constraint; D04 not applied; novelty is identity/day confounded and is not a pure first-exposure effect
heldout_perturbation_axis,early_reward_axis_contrast_full_reversible_mouse_mean,early_reward_axis_contrast_full_half_e1_e2_minus_nr,early_reward_axis follows reversible reward availability for the contrast probe condition full,0.260825.2232,b953bfdb128e3c196cb95c0499a91eeff0191f60+dirty,6103,discovery,behavior-eligible discovery sessions; Figure 2 isolation-only frozen axis; completed non-auto physical changes with no lick within +/-150 ms,complete E1/NR/E2 support with >=5 trials per session block,0.6782978617674101,frozen-axis score difference,0.649579708393551,0.7080524578112961,0.95,mouse percentile bootstrap,0.6782978617674101,exact_two_sided_sign_flip,0.00048828125,0.001953125,holm,perturbation_early_reward_axis_condition_contrasts,two-sided,12,23,,20667,969,equal-session mean within mouse; equal-mouse mean,mouse_percentile_10000_seed_6103,0.5 * E1 - NR + 0.5 * E2 within session and condition,frozen Figure 2 axis; contrast and designated-novel trials excluded from fitting,pass,discovery-only mechanistic constraint; D04 not applied; novelty is identity/day confounded and is not a pure first-exposure effect
heldout_perturbation_axis,early_reward_axis_contrast_reduced_reversible_mouse_mean,early_reward_axis_contrast_reduced_half_e1_e2_minus_nr,early_reward_axis follows reversible reward availability for the contrast probe condition reduced,0.260825.2232,b953bfdb128e3c196cb95c0499a91eeff0191f60+dirty,6104,discovery,behavior-eligible discovery sessions; Figure 2 isolation-only frozen axis; completed non-auto physical changes with no lick within +/-150 ms,complete E1/NR/E2 support with >=5 trials per session block,0.1295225713660177,frozen-axis score difference,0.08142348532163637,0.17623451311282745,0.95,mouse percentile bootstrap,0.1295225713660177,exact_two_sided_sign_flip,0.001953125,0.001953125,holm,perturbation_early_reward_axis_condition_contrasts,two-sided,12,23,,20667,969,equal-session mean within mouse; equal-mouse mean,mouse_percentile_10000_seed_6104,0.5 * E1 - NR + 0.5 * E2 within session and condition,frozen Figure 2 axis; contrast and designated-novel trials excluded from fitting,pass,discovery-only mechanistic constraint; D04 not applied; novelty is identity/day confounded and is not a pure first-exposure effect
heldout_perturbation_axis,early_reward_axis_contrast_state_by_perturbation_interaction_mouse_mean,early_reward_axis_contrast_test_minus_reference_reversible_contrast,The reversible reward-state contrast differs between the held-out contrast condition and its reference,0.260825.2232,b953bfdb128e3c196cb95c0499a91eeff0191f60+dirty,6105,discovery,behavior-eligible discovery sessions; Figure 2 isolation-only frozen axis; completed non-auto physical changes with no lick within +/-150 ms,complete E1/NR/E2 support with >=5 trials per session block,-0.5487752904013925,difference in frozen-axis score contrasts,-0.5899133320124125,-0.5116447308256646,0.95,mouse percentile bootstrap,0.5487752904013925,exact_two_sided_sign_flip,0.00048828125,0.0009765625,holm,perturbation_early_reward_axis_interactions,two-sided,12,23,,20667,1938,equal-session mean within mouse; equal-mouse mean,mouse_percentile_10000_seed_6105,held-out perturbation minus reference difference in 0.5 * E1 - NR + 0.5 * E2,frozen Figure 2 axis; contrast and designated-novel trials excluded from fitting,pass,discovery-only mechanistic constraint; D04 not applied; novelty is identity/day confounded and is not a pure first-exposure effect
heldout_perturbation_axis,behavior_response_novelty_familiar_reversible_mouse_mean,behavior_response_novelty_familiar_half_e1_e2_minus_nr,behavior_response follows reversible reward availability for the novelty probe condition familiar,0.260825.2232,b953bfdb128e3c196cb95c0499a91eeff0191f60+dirty,6106,discovery,behavior-eligible discovery sessions; Figure 2 isolation-only frozen axis; completed non-auto physical changes with no lick within +/-150 ms,complete E1/NR/E2 support with >=5 trials per session block,0.5847628926895644,response-probability difference,0.5038300440290813,0.6682581151295667,0.95,mouse percentile bootstrap,0.5847628926895644,exact_two_sided_sign_flip,0.00048828125,0.001953125,holm,perturbation_behavior_response_condition_contrasts,two-sided,12,23,,20667,2348,equal-session mean within mouse; equal-mouse mean,mouse_percentile_10000_seed_6106,0.5 * E1 - NR + 0.5 * E2 within session and condition,frozen Figure 2 axis; contrast and designated-novel trials excluded from fitting,pass,discovery-only mechanistic constraint; D04 not applied; novelty is identity/day confounded and is not a pure first-exposure effect
heldout_perturbation_axis,behavior_response_novelty_designated_novel_reversible_mouse_mean,behavior_response_novelty_designated_novel_half_e1_e2_minus_nr,behavior_response follows reversible reward availability for the novelty probe condition designated_novel,0.260825.2232,b953bfdb128e3c196cb95c0499a91eeff0191f60+dirty,6107,discovery,behavior-eligible discovery sessions; Figure 2 isolation-only frozen axis; completed non-auto physical changes with no lick within +/-150 ms,complete E1/NR/E2 support with >=5 trials per session block,0.5810758693542486,response-probability difference,0.5072353587969949,0.6599966177755486,0.95,mouse percentile bootstrap,0.5810758693542486,exact_two_sided_sign_flip,0.00048828125,0.001953125,holm,perturbation_behavior_response_condition_contrasts,two-sided,12,23,,20667,1375,equal-session mean within mouse; equal-mouse mean,mouse_percentile_10000_seed_6107,0.5 * E1 - NR + 0.5 * E2 within session and condition,frozen Figure 2 axis; contrast and designated-novel trials excluded from fitting,pass,discovery-only mechanistic constraint; D04 not applied; novelty is identity/day confounded and is not a pure first-exposure effect
heldout_perturbation_axis,behavior_response_novelty_state_by_perturbation_interaction_mouse_mean,behavior_response_novelty_test_minus_reference_reversible_contrast,The reversible reward-state contrast differs between the held-out novelty condition and its reference,0.260825.2232,b953bfdb128e3c196cb95c0499a91eeff0191f60+dirty,6108,discovery,behavior-eligible discovery sessions; Figure 2 isolation-only frozen axis; completed non-auto physical changes with no lick within +/-150 ms,complete E1/NR/E2 support with >=5 trials per session block,-0.003687023335315861,difference in response-probability contrasts,-0.04699016335351175,0.04921264905272413,0.95,mouse percentile bootstrap,0.003687023335315861,exact_two_sided_sign_flip,0.89990234375,0.89990234375,holm,perturbation_behavior_response_interactions,two-sided,12,23,,20667,3723,equal-session mean within mouse; equal-mouse mean,mouse_percentile_10000_seed_6108,held-out perturbation minus reference difference in 0.5 * E1 - NR + 0.5 * E2,frozen Figure 2 axis; contrast and designated-novel trials excluded from fitting,pass,discovery-only mechanistic constraint; D04 not applied; novelty is identity/day confounded and is not a pure first-exposure effect
heldout_perturbation_axis,early_reward_axis_novelty_familiar_reversible_mouse_mean,early_reward_axis_novelty_familiar_half_e1_e2_minus_nr,early_reward_axis follows reversible reward availability for the novelty probe condition familiar,0.260825.2232,b953bfdb128e3c196cb95c0499a91eeff0191f60+dirty,6109,discovery,behavior-eligible discovery sessions; Figure 2 isolation-only frozen axis; completed non-auto physical changes with no lick within +/-150 ms,complete E1/NR/E2 support with >=5 trials per session block,0.6719283705986823,frozen-axis score difference,0.6466198146540376,0.6957451848858287,0.95,mouse percentile bootstrap,0.6719283705986823,exact_two_sided_sign_flip,0.00048828125,0.001953125,holm,perturbation_early_reward_axis_condition_contrasts,two-sided,12,23,,20667,2348,equal-session mean within mouse; equal-mouse mean,mouse_percentile_10000_seed_6109,0.5 * E1 - NR + 0.5 * E2 within session and condition,frozen Figure 2 axis; contrast and designated-novel trials excluded from fitting,pass,discovery-only mechanistic constraint; D04 not applied; novelty is identity/day confounded and is not a pure first-exposure effect
