source_region,target_region,n_mice,n_sessions,median_source_units_per_mouse,median_target_units_per_mouse,minimum_source_units_per_session,minimum_target_units_per_session,coverage_eligible,coverage_reason
HPF,Isocortex,12,23,119.5,399.08333333333337,33,210,true,pass
HPF,TH,12,23,119.5,164.0,33,32,true,pass
TH,Isocortex,12,23,164.0,399.08333333333337,32,210,true,pass
TH,HPF,12,23,164.0,119.5,32,33,true,pass
Isocortex,TH,12,23,399.08333333333337,164.0,210,32,true,pass
Isocortex,HPF,12,23,399.08333333333337,119.5,210,33,true,pass
Isocortex,STR,11,19,397.5,102.5,210,26,true,pass
TH,STR,11,19,152.5,102.5,32,26,true,pass
HPF,STR,11,19,113.0,102.5,33,26,true,pass
STR,TH,11,19,102.5,152.5,26,32,true,pass
STR,Isocortex,11,19,102.5,397.5,26,210,true,pass
STR,HPF,11,19,102.5,113.0,26,33,true,pass
HPF,MB,10,14,114.0,80.5,64,8,true,pass
TH,MB,10,14,141.16666666666669,80.5,32,8,true,pass
MB,HPF,10,14,80.5,114.0,8,64,true,pass
Isocortex,MB,10,14,466.5,80.5,247,8,true,pass
MB,TH,10,14,80.5,141.16666666666669,8,32,true,pass
MB,Isocortex,10,14,80.5,466.5,8,247,true,pass
MB,STR,9,12,78.0,102.5,8,29,true,pass
STR,MB,9,12,102.5,78.0,29,8,true,pass
Isocortex,HY,3,3,441.0,19.0,331,10,false,insufficient_mice;insufficient_sessions
HY,HPF,3,3,19.0,115.0,10,33,false,insufficient_mice;insufficient_sessions
HY,Isocortex,3,3,19.0,441.0,10,331,false,insufficient_mice;insufficient_sessions
TH,HY,3,3,171.0,19.0,137,10,false,insufficient_mice;insufficient_sessions
HY,TH,3,3,19.0,171.0,10,137,false,insufficient_mice;insufficient_sessions
HPF,HY,3,3,115.0,19.0,33,10,false,insufficient_mice;insufficient_sessions
STR,HY,2,2,165.5,25.0,84,19,false,insufficient_mice;insufficient_sessions
HY,STR,2,2,25.0,165.5,19,84,false,insufficient_mice;insufficient_sessions
STR,PAL,1,2,223.0,17.5,87,13,false,insufficient_mice;insufficient_sessions
MB,PAL,1,2,70.0,17.5,62,13,false,insufficient_mice;insufficient_sessions
HPF,PAL,1,2,135.5,17.5,131,13,false,insufficient_mice;insufficient_sessions
TH,PAL,1,2,127.0,17.5,97,13,false,insufficient_mice;insufficient_sessions
PAL,HPF,1,2,17.5,135.5,13,131,false,insufficient_mice;insufficient_sessions
Isocortex,PAL,1,2,492.5,17.5,455,13,false,insufficient_mice;insufficient_sessions
PAL,Isocortex,1,2,17.5,492.5,13,455,false,insufficient_mice;insufficient_sessions
PAL,MB,1,2,17.5,70.0,13,62,false,insufficient_mice;insufficient_sessions
PAL,STR,1,2,17.5,223.0,13,87,false,insufficient_mice;insufficient_sessions
PAL,TH,1,2,17.5,127.0,13,97,false,insufficient_mice;insufficient_sessions
MB,HY,1,1,52.0,19.0,52,19,false,insufficient_mice;insufficient_sessions
HY,MB,1,1,19.0,52.0,19,52,false,insufficient_mice;insufficient_sessions
Isocortex,OLF,0,0,0.0,0.0,0,0,false,insufficient_mice;insufficient_sessions;insufficient_median_units_per_mouse
OLF,HPF,0,0,0.0,0.0,0,0,false,insufficient_mice;insufficient_sessions;insufficient_median_units_per_mouse
STR,OLF,0,0,0.0,0.0,0,0,false,insufficient_mice;insufficient_sessions;insufficient_median_units_per_mouse
OLF,STR,0,0,0.0,0.0,0,0,false,insufficient_mice;insufficient_sessions;insufficient_median_units_per_mouse
HY,PAL,0,0,0.0,0.0,0,0,false,insufficient_mice;insufficient_sessions;insufficient_median_units_per_mouse
OLF,Isocortex,0,0,0.0,0.0,0,0,false,insufficient_mice;insufficient_sessions;insufficient_median_units_per_mouse
MB,OLF,0,0,0.0,0.0,0,0,false,insufficient_mice;insufficient_sessions;insufficient_median_units_per_mouse
OLF,MB,0,0,0.0,0.0,0,0,false,insufficient_mice;insufficient_sessions;insufficient_median_units_per_mouse
HPF,OLF,0,0,0.0,0.0,0,0,false,insufficient_mice;insufficient_sessions;insufficient_median_units_per_mouse
TH,OLF,0,0,0.0,0.0,0,0,false,insufficient_mice;insufficient_sessions;insufficient_median_units_per_mouse
PAL,HY,0,0,0.0,0.0,0,0,false,insufficient_mice;insufficient_sessions;insufficient_median_units_per_mouse
OLF,TH,0,0,0.0,0.0,0,0,false,insufficient_mice;insufficient_sessions;insufficient_median_units_per_mouse
