_nwb_path,subject_id,ecephys_session_id,recording_day,n_trials,n_unresolved_trials,n_nwb_source_trials,n_companion_source_trials,n_missing_source_trials,n_no_reward_trials,n_nwb_companion_disagreements,n_companion_internal_conflict_trials,n_effective_reward_epoch_conflicts,reward_epoch_audit_status
https://dandiarchive.s3.amazonaws.com/blobs/585/411/5854110b-2b31-4bbf-881e-3280f7b87b95,604914,1173189336,EPHYS_2,798,0,798,0,0,157,0,0,0,pass
https://dandiarchive.s3.amazonaws.com/blobs/e5f/59c/e5f59ceb-77c6-417f-a55e-4574c0d390ba,604914,1173741216,EPHYS_4,487,0,487,0,0,161,0,0,0,pass
https://dandiarchive.s3.amazonaws.com/blobs/324/6c5/3246c508-0142-4e96-b1f4-13ab63ee636e,607660,1182628226,EPHYS_2,643,0,0,643,0,157,0,0,0,pass
https://dandiarchive.s3.amazonaws.com/blobs/c1b/70d/c1b70d41-1214-4afd-9fcc-b1a3b128c5d6,607660,1182427414,EPHYS_1,612,0,0,612,0,159,0,0,0,pass
https://dandiarchive.s3.amazonaws.com/blobs/d01/275/d012752e-19c8-4ea9-bba6-59bf0983cff5,607660,1183071525,EPHYS_4,645,0,0,645,0,156,0,0,0,pass
https://dandiarchive.s3.amazonaws.com/blobs/f23/541/f2354121-247a-43f9-a28f-6b8b8c4570d4,607660,1182871514,EPHYS_3,645,0,0,645,0,160,0,0,0,pass
https://dandiarchive.s3.amazonaws.com/blobs/2b8/c4a/2b8c4a9d-2e57-4a8d-a9dd-3aa56cf82732,608671,1177900858,EPHYS_1,468,0,0,468,0,157,0,0,0,pass
https://dandiarchive.s3.amazonaws.com/blobs/e4f/a5f/e4fa5f32-279b-40b0-a324-b0d14d1c4cdc,608671,1178460518,EPHYS_3,553,0,0,553,0,155,0,0,0,pass
https://dandiarchive.s3.amazonaws.com/blobs/f8f/a8d/f8fa8d9d-b477-4570-875d-852aa7c507d4,608671,1178693650,EPHYS_4,639,0,0,639,0,157,0,0,0,pass
https://dandiarchive.s3.amazonaws.com/blobs/fe8/82f/fe882f8d-cadd-49b7-a088-3f7605d8b083,608671,1178173272,EPHYS_2,491,0,0,491,0,155,0,0,0,pass
https://dandiarchive.s3.amazonaws.com/blobs/0ab/b29/0abb2952-5419-4c3b-b848-d58b590e49b5,608672,1174790219,EPHYS_2,654,0,0,654,0,151,0,0,0,pass
https://dandiarchive.s3.amazonaws.com/blobs/45e/b63/45eb632e-a7df-4d91-b0ea-ab8ff3512409,608672,1175253205,EPHYS_4,638,0,0,638,0,157,0,0,0,pass
https://dandiarchive.s3.amazonaws.com/blobs/bee/4c8/bee4c859-5d34-4bb8-aff9-c839f7465d57,608672,1174553025,EPHYS_1,571,0,0,571,0,160,0,0,0,pass
https://dandiarchive.s3.amazonaws.com/blobs/ecf/4b0/ecf4b0b7-074f-487d-974c-a5188c39f67e,608672,1175067685,EPHYS_3,565,0,0,565,0,156,0,0,0,pass
https://dandiarchive.s3.amazonaws.com/blobs/0e3/8be/0e38be1e-c081-4521-86c7-d316a3aa6a09,611160,1176580734,EPHYS_2,600,0,0,600,0,162,0,0,0,pass
https://dandiarchive.s3.amazonaws.com/blobs/31a/05e/31a05e05-48b4-4889-a8b3-8dffcdc8ef89,611160,1176989662,EPHYS_4,560,0,0,560,0,159,0,0,0,pass
https://dandiarchive.s3.amazonaws.com/blobs/8a2/759/8a27595e-a223-4dec-9fcd-0f886050fa7d,611160,1176791184,EPHYS_3,581,0,0,581,0,158,0,0,0,pass
