_nwb_path,subject_id,transition_id,transition_order,effect_direction_multiplier,latency_direction_multiplier,included_in_transition_analysis,condition,real_pre_response_probability,real_pre_median_response_latency_seconds,real_pre_n_trials,real_pre_n_latency_responses,real_post_response_probability,real_post_median_response_latency_seconds,real_post_n_trials,real_post_n_latency_responses,pseudo_pre_response_probability,pseudo_pre_median_response_latency_seconds,pseudo_pre_n_trials,pseudo_pre_n_latency_responses,pseudo_post_response_probability,pseudo_post_median_response_latency_seconds,pseudo_post_n_trials,pseudo_post_n_latency_responses,real_step,pseudo_step,real_latency_step_seconds,pseudo_latency_step_seconds,n_real_window_trials,n_pseudo_window_trials,n_real_window_latency_responses,n_pseudo_window_latency_responses,pseudo_controlled_step,pseudo_controlled_latency_step_seconds,n_controlled_window_trials,n_controlled_window_latency_responses,real_step_estimable,pseudo_step_estimable,controlled_step_estimable,real_latency_estimable,pseudo_latency_estimable,controlled_latency_estimable
https://dandiarchive.s3.amazonaws.com/blobs/585/411/5854110b-2b31-4bbf-881e-3280f7b87b95,604914,reward_withdrawal,1,-1.0,1.0,true,catch,1.0,0.17798499999992146,4,4,1.0,0.17791500000004135,4,4,1.0,0.1771800000000212,2,2,,,0,0,-0.0,,-0.00006999999988011041,,8,2,8,2,,,10,10,true,false,false,true,false,false
https://dandiarchive.s3.amazonaws.com/blobs/585/411/5854110b-2b31-4bbf-881e-3280f7b87b95,604914,reward_withdrawal,1,-1.0,1.0,true,go,1.0,0.17774999999994634,6,6,1.0,0.1782599999999661,16,16,1.0,0.1865500000000111,2,2,1.0,0.19376999999997224,3,3,-0.0,-0.0,0.0005100000000197724,0.007219999999961146,22,5,22,5,0.0,-0.006709999999941374,27,27,true,true,true,true,true,true
https://dandiarchive.s3.amazonaws.com/blobs/585/411/5854110b-2b31-4bbf-881e-3280f7b87b95,604914,reward_withdrawal,1,-1.0,1.0,true,go_minus_catch,,,,,,,,,,,,,,,,,0.0,,,,30,7,0,0,,,37,0,true,false,false,false,false,false
https://dandiarchive.s3.amazonaws.com/blobs/585/411/5854110b-2b31-4bbf-881e-3280f7b87b95,604914,reward_restoration,2,1.0,-1.0,true,catch,1.0,0.17797999999993408,5,5,1.0,0.17734999999993306,1,1,1.0,0.17813999999998487,5,5,1.0,0.17826999999988402,5,5,0.0,0.0,0.0006300000000010186,-0.00012999999989915523,6,10,6,10,0.0,0.0007599999999001739,16,16,true,true,true,true,true,true
https://dandiarchive.s3.amazonaws.com/blobs/585/411/5854110b-2b31-4bbf-881e-3280f7b87b95,604914,reward_restoration,2,1.0,-1.0,true,go,1.0,0.17837999999983367,12,12,1.0,0.17830999999978303,9,9,1.0,0.17836499999998523,14,14,1.0,0.17814999999995962,13,13,0.0,0.0,0.00007000000005064066,0.00021500000002561137,21,27,21,27,0.0,-0.0001449999999749707,48,48,true,true,true,true,true,true
https://dandiarchive.s3.amazonaws.com/blobs/585/411/5854110b-2b31-4bbf-881e-3280f7b87b95,604914,reward_restoration,2,1.0,-1.0,true,go_minus_catch,,,,,,,,,,,,,,,,,0.0,0.0,,,27,37,0,0,0.0,,64,0,true,true,true,false,false,false
https://dandiarchive.s3.amazonaws.com/blobs/e5f/59c/e5f59ceb-77c6-417f-a55e-4574c0d390ba,604914,reward_withdrawal,1,-1.0,1.0,true,catch,0.0,,4,0,0.0,,5,0,0.2,0.3933000000000675,5,1,0.0,,4,0,-0.0,0.2,,,9,9,0,1,-0.2,,18,1,true,true,true,false,false,false
https://dandiarchive.s3.amazonaws.com/blobs/e5f/59c/e5f59ceb-77c6-417f-a55e-4574c0d390ba,604914,reward_withdrawal,1,-1.0,1.0,true,go,0.3333333333333333,0.5960549999999785,12,4,0.0,,15,0,0.5,0.5113500000000499,10,5,0.5833333333333334,0.5118999999999687,12,7,0.3333333333333333,-0.08333333333333337,,0.0005499999999187821,27,22,4,12,0.4166666666666667,,49,16,true,true,true,false,true,false
https://dandiarchive.s3.amazonaws.com/blobs/e5f/59c/e5f59ceb-77c6-417f-a55e-4574c0d390ba,604914,reward_withdrawal,1,-1.0,1.0,true,go_minus_catch,,,,,,,,,,,,,,,,,0.3333333333333333,-0.2833333333333334,,,36,31,0,0,0.6166666666666667,,67,0,true,true,true,false,false,false
https://dandiarchive.s3.amazonaws.com/blobs/e5f/59c/e5f59ceb-77c6-417f-a55e-4574c0d390ba,604914,reward_restoration,2,1.0,-1.0,true,catch,0.0,,4,0,0.0,,5,0,0.0,,5,0,0.0,,5,0,0.0,0.0,,,9,10,0,0,0.0,,19,0,true,true,true,false,false,false
https://dandiarchive.s3.amazonaws.com/blobs/e5f/59c/e5f59ceb-77c6-417f-a55e-4574c0d390ba,604914,reward_restoration,2,1.0,-1.0,true,go,0.0625,0.7456200000001445,16,1,0.0,,14,0,0.15384615384615385,0.6954399999999623,13,2,0.06666666666666667,0.6287600000000566,15,1,-0.0625,-0.08717948717948719,,0.0666799999999057,30,28,1,3,0.02467948717948719,,58,4,true,true,true,false,true,false
https://dandiarchive.s3.amazonaws.com/blobs/e5f/59c/e5f59ceb-77c6-417f-a55e-4574c0d390ba,604914,reward_restoration,2,1.0,-1.0,true,go_minus_catch,,,,,,,,,,,,,,,,,-0.0625,-0.08717948717948719,,,39,38,0,0,0.02467948717948719,,77,0,true,true,true,false,false,false
